,beta,mean_abs_mu,mean_abs_contrib,share_of_total,nonzero_beta
NOM:92321_SYCA TP2_230_22832_SYCAMORE_230_BR_2 _1|SD1 ECONTY-MIGUEL 500_M,0.01905707138491451,35.28670903673835,0.6724613330518305,0.18841970576617892,True
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3|SC1 MIDWAY-VINCNT_1 500,0.19697231027694714,3.181664115143369,0.6266997312850483,0.17559757441603097,True
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3|SC1 MIDWAY-WHIRWD_1 500,0.324546454251981,1.3435411122311829,0.4360415041163932,0.12217626184481367,True
ITC:LDWP_IPP_NORTH|I|Base Case,-0.12463779772180164,1.5889011839157707,0.19803714436082498,0.055488841718078274,True
NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2|SC2 MIDWAY-VNCNT 1+2 500,0.3071999029892501,0.48074468413978494,0.14768472033033964,0.04138038900246811,True
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 MOSSLD-LOSBNS 500,-0.004812129047407803,30.352650112007165,0.1460608692697954,0.04092539549726941,True
NOM:24801_DEVERS  _500_99014_CALCAPS2_500_BR_2 _1|SD1 NGILA-IVALLY 500,0.1023852067680567,1.2166621314964157,0.12456820390012509,0.034903277219173426,True
NOM:7760_DEV_RDB_ALIS|Base Case,-0.07011558926657584,1.713198146281362,0.12012189755692308,0.03365744836366086,True
NOM:6410_CP1_NG|Base Case,-0.299716549739893,0.38124459229390684,0.11426531380932195,0.03201646808378365,True
NOM:22886_SUNCREST_230_92860_SUNC TP1_230_BR_1 _1|SD1 ECONTY-MIGUEL 500_M,0.022383870292904142,4.9045879749103936,0.10978366107053167,0.030760735376362737,True
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 WHELRG-WEEDPC 70,0.00029771595090612564,246.832253140681,0.07348589895807936,0.020590316170011308,True
NOM:34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1|Base Case,0.007115667526878229,9.944256452732976,0.07076002271966131,0.019826541699192537,True
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_1 _3|PG1 MIDWAY 500-230 BK12,0.22891530855129302,0.2189793257168459,0.050127719912825865,0.014045491945000935,True
NOM:7820_TL 230S_OVERLOAD_NG|Base Case,-0.014968209358513448,2.746672816980287,0.04111277376389882,0.011519557118131327,True
NOM:24801_DEVERS  _500_99014_CALCAPS2_500_BR_2 _1|Base Case,0.09486888053550675,0.4035162488799284,0.038281134809125726,0.01072614855696834,True
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|Base Case,-0.0015674697193220509,22.24155731854839,0.03486296760739035,0.009768398234748784,True
NOM:MIGUEL_BKs_MXFLW_NG|Base Case,-0.05259823615344523,0.6583621695788531,0.03462868887000307,0.009702754712071502,True
NOM:VC_TL_681B_import_NG|Base Case,0.015439266406758875,1.9320805981182798,0.02982990707367815,0.008358164310127982,True
NOM:34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1|Base Case,0.0035580034471026016,7.8508408714157705,0.027933318883151308,0.007826751467107112,True
ITC:LDWP_IPP_NORTH|E|Base Case,0.2142765582050899,0.10886504928315412,0.023327228069221755,0.006536151943779555,True
NOM:OMS_18316810_SANLUS_1WCB_SD_Exp|Base Case,-0.10012116037755024,0.22872067988351255,0.022899779872279487,0.006416383476003672,True
NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_1 _1|PG1 TRNQSS-KERNEY 230_M,-0.028780339468204182,0.7798068257168459,0.022443105163753557,0.0062884259117808984,True
