physical_line,n_scenarios,sum_contrib,share
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3,2,1.0627412354014414,0.2977738362608446
NOM:92321_SYCA TP2_230_22832_SYCAMORE_230_BR_2 _1,2,0.6765567662632013,0.18956722203625126
ITC:LDWP_IPP_NORTH,2,0.22136437243004672,0.062024993661857826
NOM:24801_DEVERS  _500_99014_CALCAPS2_500_BR_2 _1,2,0.1628493387092508,0.04562942577614176
NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,2,0.14768472033033964,0.04138038900246811
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,3,0.1460608692697954,0.04092539549726941
NOM:7760_DEV_RDB_ALIS,1,0.12012189755692308,0.03365744836366086
NOM:6410_CP1_NG,1,0.11426531380932195,0.03201646808378365
NOM:22886_SUNCREST_230_92860_SUNC TP1_230_BR_1 _1,1,0.10978366107053167,0.030760735376362737
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,3,0.07470469150880876,0.02093181466592668
NOM:34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1,1,0.07076002271966131,0.019826541699192537
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_1 _3,1,0.050127719912825865,0.014045491945000935
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,7,0.041904808916289255,0.011741480703971725
NOM:7820_TL 230S_OVERLOAD_NG,1,0.04111277376389882,0.011519557118131327
NOM:MIGUEL_BKs_MXFLW_NG,1,0.03462868887000307,0.009702754712071502
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,4,0.030163207165405995,0.008451553033209195
NOM:VC_TL_681B_import_NG,1,0.02982990707367815,0.008358164310127982
NOM:34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1,1,0.027933318883151308,0.007826751467107112
NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_1 _1,2,0.024033551073766354,0.006734059490505248
NOM:OMS_18316810_SANLUS_1WCB_SD_Exp,1,0.022899779872279487,0.006416383476003672
NOM:34774_MIDWAY  _115_34225_BELRDG J_115_BR_1 _1,4,0.022013546141665365,0.006168066003228616
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,1,0.020888549432344916,0.005852848549763911
NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1,2,0.019867597905840487,0.005566783943859397
NOM:30915_MORROBAY_230_30916_SOLARSS _230_BR_1 _1,2,0.017741449366787034,0.004971049642936008
NOM:34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1,2,0.01750349050494513,0.004904374971056769
NOM:7430_CP6_NG,1,0.013298818744827108,0.003726250702871172
ITC:VAL_TOL 2,1,0.013244589313797689,0.003711055935624022
NOM:99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1,4,0.012571032590157027,0.0035223293078650054
NOM:29400_ANTELOPE_500_29402_WIRLWIND_500_BR_1 _1,1,0.012466907428500986,0.003493154050704792
ITC:Line_MA-SLL_69KV,3,0.012365375512437675,0.0034647054056894644
NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1,4,0.012292533947264508,0.0034442956280518583
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,1,0.011709730032168205,0.0032809974028535946
NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,2,0.011108652851795697,0.003112579116326147
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,9,0.010203350654260524,0.0028589187714035268
NOM:7410_CP24_NG,1,0.009862810230219317,0.0027635013498424443
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,1,0.009493479976494025,0.002660017187531354
NOM:30005_ROUND MT_500_30015_TABLE MT_500_BR_2 _1,1,0.008800935388286277,0.002465970271929731
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,1,0.008095075334056743,0.0022681924411562596
ITC:PACE_FOURCORNE345_ITC,2,0.007892672598917055,0.002211480386608507
