physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,3.0,1521749.6114400001,SC21ATP,ARVIN,70.0,,150.0,voltage proxy 70 kV,0
NOM:7690-CONTRL-INYOKN_EXP_NG,1.0,1245426.84899,,,,,,unknown,0
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,5.0,941419.52527,ELCAJON,LOSCOCHS,69.0,,150.0,voltage proxy 69 kV,0
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,1.0,784881.5411999999,HPLNDJT,CLVRDLJT,60.0,,150.0,voltage proxy 60 kV,0
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,3.0,643361.04575,LOSBANOS,PANOCHE,230.0,Midway -Los Banos,5400.0,WECC path 15,7
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,1.0,276992.07853,KETTLEMN,GATES,70.0,,150.0,voltage proxy 70 kV,0
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,4.0,269192.8245800001,KINGSBRG,CONTADNA,115.0,,250.0,voltage proxy 115 kV,0
ITC:Line_MA-SLL_69KV,1.0,231882.66237999997,MA,SLL,69.0,,150.0,voltage proxy 69 kV,0
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,2.0,231075.80484,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
ITC:Line_MA-OD_69KV,1.0,227615.48127,MA,OD,69.0,,150.0,voltage proxy 69 kV,0
NOM:35642_METCALF _115_30735_METCALF _230_XF_2,1.0,196378.77608,METCALF,,230.0,,700.0,voltage proxy 230 kV,0
NOM:34101_CERTANJ2_115_34116_LE GRAND_115_BR_1 _1,4.0,191896.31948,CERTANJ2,LEGRAND,115.0,,250.0,voltage proxy 115 kV,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,5.0,183481.88459,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:22824_SWTWTRTP_69.0_22820_SWEETWTR_69.0_BR_1 _1,2.0,173898.90287000002,SWTWTRTP,SWEETWTR,69.0,,150.0,voltage proxy 69 kV,0
NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1,4.0,144250.36143000002,HENTAP1,MUSTANGS,230.0,,700.0,voltage proxy 230 kV,0
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,8.0,133260.93013,PANOCHE,GATES,230.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:34100_CHWCHLLA_115_34101_CERTANJ2_115_BR_1 _1,6.0,124160.02610999999,CHWCHLLA,CERTANJ2,115.0,,250.0,voltage proxy 115 kV,0
NOM:7820_PK_EC_OVERLOAD_NG,1.0,112973.88162,,,,,,unknown,0
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1,1.0,103583.32014,CLERLKE,KONOCTI6,60.0,,150.0,voltage proxy 60 kV,0
