physical_line,n_scenarios,sum_abs_mu,sub1,sub2,kV,matched_path,rating_MW,rating_source,match_confidence
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1,3.0,2869915.15772,SC21ATP,ARVIN,70.0,,150.0,voltage proxy 70 kV,0
NOM:7690-CONTRL-INYOKN_EXP_NG,1.0,534313.6467800001,,,,,,unknown,0
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1,4.0,499262.62750000006,CLERLKE,KONOCTI6,60.0,,150.0,voltage proxy 60 kV,0
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,7.0,386011.39396,LEGRAND,ADRATAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1,4.0,382732.75947,BRNSWKT1,DTCH2TAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1,4.0,346511.42592,J.HINDS2,MIRAGE,230.0,,700.0,voltage proxy 230 kV,0
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1,1.0,336607.33537,HPLNDJT,CLVRDLJT,60.0,,150.0,voltage proxy 60 kV,0
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,2.0,328614.52442000003,LOSBANOS,PANOCHE,230.0,Midway -Los Banos,5400.0,WECC path 15,7
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1,1.0,327365.76931999996,KETTLEMN,GATES,70.0,,150.0,voltage proxy 70 kV,0
NOM:92321_SYCA TP2_230_22832_SYCAMORE_230_BR_2 _1,2.0,316539.72018,SYCATP2,SYCAMORE,230.0,,700.0,voltage proxy 230 kV,0
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,3.0,287437.51863999997,MOSSLD,LASAGUIL,230.0,,700.0,voltage proxy 230 kV,0
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1,2.0,286368.56769,ELCAJON,LOSCOCHS,69.0,,150.0,voltage proxy 69 kV,0
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1,9.0,283418.26298999996,KINGSBRG,CONTADNA,115.0,,250.0,voltage proxy 115 kV,0
ITC:WMesaWT2_448 MVA,1.0,218733.08177,WMesaWT2,,,,448.0,ITC name (explicit MVA),0
ITC:Line_MA-OD_69KV,7.0,182636.89437,MA,OD,69.0,,150.0,voltage proxy 69 kV,0
NOM:35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1,5.0,171834.80518999998,NEWARKD,NORTHERN,115.0,,250.0,voltage proxy 115 kV,0
ITC:Line_MA-SLL_69KV,3.0,159588.21978999997,MA,SLL,69.0,,150.0,voltage proxy 69 kV,0
NOM:34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1,2.0,157217.38546,MCSWAINJ,EXCHEQUR,70.0,,150.0,voltage proxy 70 kV,0
NOM:33008_GRIZLYJ2_115_33010_SOBRANTE_115_BR_2 _1,4.0,145805.69549,GRIZLYJ2,SOBRANTE,115.0,,250.0,voltage proxy 115 kV,0
NOM:34101_CERTANJ2_115_34116_LE GRAND_115_BR_1 _1,6.0,129730.65700999998,CERTANJ2,LEGRAND,115.0,,250.0,voltage proxy 115 kV,0
ITC:WMesaET1_448 MVA,1.0,122007.02446,WMesaET1,,,,448.0,ITC name (explicit MVA),0
NOM:35107_DUMBARTN_115_35120_NEWARK D_115_BR_1 _1,1.0,115256.63466999998,DUMBARTN,NEWARKD,115.0,,250.0,voltage proxy 115 kV,0
NOM:31338_KONOCTI6_60.0_31344_EGLE RCK_60.0_BR_1 _1,4.0,109435.94073,KONOCTI6,EGLERCK,60.0,,150.0,voltage proxy 60 kV,0
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,1.0,107191.52953,CARIBOU,XF,115.0,,250.0,voltage proxy 115 kV,0
NOM:34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1,1.0,88782.32161000001,TAFT,Q356TAP,70.0,,150.0,voltage proxy 70 kV,0
NOM:35642_METCALF _115_30735_METCALF _230_XF_2,1.0,77560.61581,METCALF,,230.0,,700.0,voltage proxy 230 kV,0
NOM:115kv SOC_BESO,5.0,75224.19389,,,115.0,,250.0,voltage proxy 115 kV,0
ITC:Line_DSN-FH_69KV,4.0,73661.08062,DSN,FH,69.0,,150.0,voltage proxy 69 kV,0
NOM:34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1,1.0,70092.3073,SNJQJCT,GFFNJCT,70.0,,150.0,voltage proxy 70 kV,0
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,4.0,49444.932499999995,PANOCHE,GATES,230.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:24723_CONTROL _115_24865_TAP188  _115_BR_2 _1,1.0,49006.10499,CONTROL,TAP188,115.0,,250.0,voltage proxy 115 kV,0
ITC:EPE_SNMIC_ITC,1.0,46334.96188,EPE,,,,,unknown,0
NOM:22886_SUNCREST_230_92860_SUNC TP1_230_BR_1 _1,1.0,43788.16144,SUNCREST,SUNCTP1,230.0,,700.0,voltage proxy 230 kV,0
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3,2.0,40401.032269999996,MIDWAY,VINCENT,500.0,Northern -Southern California,4000.0,WECC path 26,6
NOM:30330_RIO OSO _230_30348_BRIGHTON_230_BR_1 _1,1.0,37756.94709,RIOOSO,BRIGHTON,230.0,,700.0,voltage proxy 230 kV,0
NOM:32220_DTCH FL1_115_32224_CHCGO PK_115_BR_1 _1,2.0,35288.74063,DTCHFL1,CHCGOPK,115.0,,250.0,voltage proxy 115 kV,0
ITC:VAL_TOL 2,1.0,31283.52241,VAL,,,,,unknown,0
NOM:24701_KRAMER  _230_24601_VICTOR  _230_BR_2 _1,1.0,28475.14313,KRAMER,VICTOR,230.0,,700.0,voltage proxy 230 kV,0
NOM:32218_DRUM    _115_32244_BRNSWKT2_115_BR_2 _1,2.0,26498.3699,DRUM,BRNSWKT2,115.0,,250.0,voltage proxy 115 kV,0
NOM:7820_TL 230S_OVERLOAD_NG,1.0,24522.294910000004,,,,,,unknown,0
NOM:34880_SN BRNRD_70.0_39021_SC21ATP _70.0_BR_1 _1,1.0,23336.95656,SNBRNRD,SC21ATP,70.0,,150.0,voltage proxy 70 kV,0
NOM:30575_WND MSTR_230_38610_DELTAPMP_230_BR_1 _1,2.0,21952.720569999998,WNDMSTR,DELTAPMP,230.0,,700.0,voltage proxy 230 kV,0
NOM:7410_CP24_NG,1.0,21603.42969,,,,,,unknown,0
NOM:34774_MIDWAY  _115_34225_BELRDG J_115_BR_1 _1,4.0,21384.30005,MIDWAY,BELRDGJ,115.0,,250.0,voltage proxy 115 kV,0
NOM:32224_CHCGO PK_115_32232_HIGGINS _115_BR_1 _1,1.0,19924.59036,CHCGOPK,HIGGINS,115.0,,250.0,voltage proxy 115 kV,0
NOM:32214_RIO OSO _115_32225_BRNSWKT1_115_BR_1 _1,2.0,18561.744870000002,RIOOSO,BRNSWKT1,115.0,,250.0,voltage proxy 115 kV,0
NOM:34134_WILSONAB_115_34144_MERCED  _115_BR_1 _1,1.0,18384.43423,WILSONAB,MERCED,115.0,,250.0,voltage proxy 115 kV,0
NOM:VC_TL_681B_import_NG,1.0,17249.61558,,,,,,unknown,0
NOM:7430_CP6_NG,1.0,17226.672089999996,,,,,,unknown,0
ITC:TAR BK E,1.0,16267.8275,TAR,,,,,unknown,0
NOM:24602_VICTOR  _115_24607_ROADWAY _115_BR_1 _1,1.0,15384.88117,VICTOR,ROADWAY,115.0,,250.0,voltage proxy 115 kV,0
NOM:7760_DEV_RDB_ALIS,1.0,15295.43305,,,,,,unknown,0
NOM:34375_ULTPWRJ _115_34377_AIRPROD _115_BR_1 _1,3.0,15230.592739999998,ULTPWRJ,AIRPROD,115.0,,250.0,voltage proxy 115 kV,0
ITC:LDWP_IPP_NORTH,2.0,15157.65693,LDWP,,,,,unknown,0
ITC:ATW_VEL 1,1.0,15128.71007,ATW,,,,,unknown,0
ITC:TEPC_BA_EXP_ITC,1.0,14633.74881,TEPC,,,,,unknown,0
NOM:24801_DEVERS  _500_99014_CALCAPS2_500_BR_2 _1,2.0,14464.95258,DEVERS,CALCAPS2,500.0,,2500.0,voltage proxy 500 kV,0
ITC:BPAT_NET_ITC,2.0,12973.11475,BPAT,,,,,unknown,0
NOM:115kv ML,4.0,12600.75212,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:34112_EXCHEQUR_115_34116_LE GRAND_115_BR_1 _1,1.0,12434.63409,EXCHEQUR,LEGRAND,115.0,,250.0,voltage proxy 115 kV,0
NOM:35642_METCALF _115_30735_METCALF _230_XF_3,1.0,12043.53445,METCALF,,230.0,,700.0,voltage proxy 230 kV,0
NOM:30881_HENRIETA_230_34430_HENRETTA_115_XF_3,1.0,11401.2086,HENRIETA,HENRETTA,230.0,,700.0,voltage proxy 230 kV,0
NOM:33530_KASSONJ2_115_33548_TRACY   _115_BR_1 _1,1.0,10319.4481,KASSONJ2,TRACY,115.0,,250.0,voltage proxy 115 kV,0
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1,1.0,10230.02395,KINGSBRG,FRWTTAP,115.0,,250.0,voltage proxy 115 kV,0
NOM:24723_CONTROL _115_24866_TAP189  _115_BR_1 _1,1.0,8600.987650000001,CONTROL,TAP189,115.0,,250.0,voltage proxy 115 kV,0
NOM:VC_TL_681B_export_NG,1.0,8476.949950000002,,,,,,unknown,0
NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1,2.0,8376.01407,HENTAP1,MUSTANGS,230.0,,700.0,voltage proxy 230 kV,0
NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_1 _1,2.0,8231.01218,MUSTANGS,GATES,230.0,,700.0,voltage proxy 230 kV,0
NOM:36851_NORTHERN_115_36852_SCOTT   _115_BR_2 _1,1.0,8203.16475,NORTHERN,SCOTT,115.0,,250.0,voltage proxy 115 kV,0
NOM:34706_WESTPARK_115_34752_KERN PWR_115_BR_1 _1,1.0,8131.83396,WESTPARK,KERNPWR,115.0,,250.0,voltage proxy 115 kV,0
ITC:TOTAL_WYOMING_EXPORT,1.0,8111.03775,TOTAL,,,,,unknown,0
NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1,2.0,8070.65664,SYCAMORE,PENSQTOS,230.0,,700.0,voltage proxy 230 kV,0
NOM:22604_OTAY    _69.0_22616_OTAYLKTP_69.0_BR_1 _1,4.0,7655.749750000001,OTAY,OTAYLKTP,69.0,,150.0,voltage proxy 69 kV,0
NOM:32218_DRUM    _115_32220_DTCH FL1_115_BR_1 _1,2.0,6964.409820000001,DRUM,DTCHFL1,115.0,,250.0,voltage proxy 115 kV,0
NOM:34121_SHARON T_115_34128_OAKH_JCT_115_BR_1 _1,1.0,6673.43765,SHARONT,,115.0,,250.0,voltage proxy 115 kV,0
ITC:NTR-DRM_1 120,1.0,6430.893010000001,NTR,DRM,,,,unknown,0
ITC:RIN_AWY 1,1.0,6368.727779999999,RIN,,,,,unknown,0
NOM:34100_CHWCHLLA_115_34101_CERTANJ2_115_BR_1 _1,4.0,6353.4284800000005,CHWCHLLA,CERTANJ2,115.0,,250.0,voltage proxy 115 kV,0
NOM:34158_PANOCHE _115_34350_KAMM    _115_BR_1 _1,1.0,6340.455879999999,PANOCHE,KAMM,115.0,,250.0,voltage proxy 115 kV,0
NOM:36256_MESA_PGE_115_36267_SNTAMRTP_115_BR_1 _1,1.0,6293.36614,SNTAMRTP,,115.0,,250.0,voltage proxy 115 kV,0
ITC:TEPC_BA_IMP_ITC,1.0,6226.59623,TEPC,,,,,unknown,0
NOM:35658_LS ESTRS_115_35659_NORTECH _115_BR_1 _1,1.0,6223.8987099999995,LSESTRS,NORTECH,115.0,,250.0,voltage proxy 115 kV,0
NOM:34149_CHENYT  _115_34158_PANOCHE _115_BR_1 _1,1.0,6135.2964600000005,CHENYT,PANOCHE,115.0,,250.0,voltage proxy 115 kV,0
NOM:34882_SAN EMDO_70.0_34904_OLD RIVR_70.0_BR_1 _1,1.0,5981.24654,SANEMDO,OLDRIVR,70.0,,150.0,voltage proxy 70 kV,0
NOM:MIGUEL_BKs_MXFLW_NG,1.0,5877.85745,,,,,,unknown,0
NOM:18999_VEAJAF  _138_18079_MERCURY _138_BR_1 _1,1.0,5789.869260000001,VEAJAF,MERCURY,138.0,,,voltage 138 kV (no proxy),0
NOM:30622_EIGHT MI_230_30495_STAGG   _230_BR_1 _1,1.0,5724.62925,EIGHTMI,STAGG,230.0,,700.0,voltage proxy 230 kV,0
NOM:34402_CAL AVE _115_34366_SANGER  _115_BR_2 _1,1.0,5690.3524099999995,CALAVE,SANGER,115.0,,250.0,voltage proxy 115 kV,0
NOM:33020_MORAGA  _115_32790_STATIN X_115_BR_3 _1,1.0,5599.01508,MORAGA,STATINX,115.0,,250.0,voltage proxy 115 kV,0
ITC:LSS XFMR10 A 230KV,1.0,5424.0076,LSS,,230.0,,700.0,voltage proxy 230 kV,0
NOM:34752_KERN PWR_115_34797_KERNWTP2_115_BR_1 _1,2.0,5012.27112,KERNPWR,KERNWTP2,115.0,,250.0,voltage proxy 115 kV,0
NOM:33543_AEC_TP2 _115_33540_TESLA   _115_BR_1 _1,1.0,4449.64103,TESLA,,115.0,,250.0,voltage proxy 115 kV,0
NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,2.0,4448.16503,MIDWAY,WIRLWIND,500.0,Northern -Southern California,4000.0,WECC path 26,6
NOM:30440_TULUCAY _230_30460_VACA-DIX_230_BR_1 _1,1.0,4202.42343,TULUCAY,VACA-DIX,230.0,,700.0,voltage proxy 230 kV,0
NOM:34724_KRN OL J_115_34736_MAGUNDEN_115_BR_1 _1,3.0,4134.76435,KRNOLJ,MAGUNDEN,115.0,,250.0,voltage proxy 115 kV,0
ITC:WINDSTAR EXPORT TCOR,1.0,4096.01221,WINDSTAR,,,,,unknown,0
NOM:34366_SANGER  _115_34370_MC CALL _115_BR_3 _1,1.0,3946.64768,SANGER,MCCALL,115.0,,250.0,voltage proxy 115 kV,0
ITC:LADWP_NET_ITC,2.0,3806.29436,LADWP,,,,,unknown,0
NOM:33020_MORAGA  _115_32792_STATIN J_115_BR_1 _1,1.0,3542.78923,MORAGA,STATINJ,115.0,,250.0,voltage proxy 115 kV,0
NOM:30915_MORROBAY_230_30916_SOLARSS _230_BR_1 _1,2.0,3442.1335,MORROBAY,SOLARSS,230.0,,700.0,voltage proxy 230 kV,0
NOM:24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1,1.0,3433.9201100000005,NEENACH,TAP85,66.0,,,voltage 66 kV (no proxy),0
NOM:6410_CP1_NG,1.0,3403.75172,,,,,,unknown,0
NOM:33020_MORAGA  _115_35101_SN LNDRO_115_BR_1 _1,1.0,3335.20007,MORAGA,SNLNDRO,115.0,,250.0,voltage proxy 115 kV,0
ITC:EPE_NET_ITC,2.0,3330.4858200000003,EPE,,,,,unknown,0
NOM:24791_TAP710  _115_24731_INYOKERN_115_BR_2 _1,1.0,3259.75612,TAP710,INYOKERN,115.0,,250.0,voltage proxy 115 kV,0
NOM:24128_S.CLARA _230_24099_MOORPARK_230_BR_2 _1,1.0,3201.70972,S.CLARA,MOORPARK,230.0,,700.0,voltage proxy 230 kV,0
ITC:YU XFMR2 A  69KV,1.0,2945.8869400000003,YU,,69.0,,150.0,voltage proxy 69 kV,0
NOM:31990_DAVIS   _115_31962_WDLND_BM_115_BR_1 _1,1.0,2687.5665,DAVIS,,115.0,,250.0,voltage proxy 115 kV,0
NOM:22380_KETTNER _69.0_22024_B       _69.0_BR_1 _1,2.0,2476.91942,KETTNER,B,69.0,,150.0,voltage proxy 69 kV,0
NOM:30975_MDWAYR11_230_30060_MIDWAY  _500_XF_11_P,1.0,2328.38893,MDWAYR11,MIDWAY,500.0,,2500.0,voltage proxy 500 kV,0
NOM:OMS_18316810_SANLUS_1WCB_SD_Exp,1.0,2042.01823,,,,,,unknown,0
NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,2.0,1999.29229,GATES,MIDWAY,230.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_1 _3,1.0,1955.04742,MIDWAY,VINCENT,500.0,Northern -Southern California,4000.0,WECC path 26,6
NOM:TL687_BREGGO_NAROWS,1.0,1867.64149,,,,,,unknown,0
ITC:PACE_FOURCORNE345_ITC,2.0,1740.79833,PACE,,,,,unknown,0
NOM:31227_HGHLNDJ2_115_31950_CORTINA _115_BR_1 _1,1.0,1701.48023,HGHLNDJ2,CORTINA,115.0,,250.0,voltage proxy 115 kV,0
NOM:33511_AVENATP2_115_33514_MANTECA _115_BR_1 _1,2.0,1654.1214300000001,AVENATP2,MANTECA,115.0,,250.0,voltage proxy 115 kV,0
NOM:30005_ROUND MT_500_30015_TABLE MT_500_BR_2 _1,1.0,1620.5756299999998,ROUNDMT,TABLEMT,500.0,,2500.0,voltage proxy 500 kV,0
NOM:99100_PIT-ESH1_230_30560_E. SHORE_230_BR_1 _2,2.0,1497.47121,PIT-ESH1,E.SHORE,230.0,,700.0,voltage proxy 230 kV,0
NOM:32290_OLIVH J1_115_32214_RIO OSO _115_BR_1 _1,1.0,1351.14937,OLIVHJ1,RIOOSO,115.0,,250.0,voltage proxy 115 kV,0
ITC:LCS_DON_115,2.0,1312.1841,LCS,,,,,unknown,0
ITC:PACE_PATHC_ITC,2.0,1231.1756599999999,PACE,,,,,unknown,0
NOM:29400_ANTELOPE_500_29402_WIRLWIND_500_BR_1 _1,1.0,1174.78344,ANTELOPE,WIRLWIND,500.0,,2500.0,voltage proxy 500 kV,0
NOM:31574_ANDERSON_60.0_31604_COTTONWD_60.0_BR_1 _1,1.0,1144.44628,ANDERSON,COTTONWD,60.0,,150.0,voltage proxy 60 kV,0
NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1,1.0,1113.64028,MUSTANGS,GATES,230.0,,700.0,voltage proxy 230 kV,0
NOM:24375_REDBLUFF_230_28195_REDBLUFF_500_XF_2 _P,1.0,1100.52835,REDBLUFF,,500.0,,2500.0,voltage proxy 500 kV,0
NOM:34519_LPNJCTSS_115_34429_GWF_HEP _115_BR_1 _1,1.0,1067.44889,LPNJCTSS,,115.0,,250.0,voltage proxy 115 kV,0
NOM:7820_TL23040_IV_SPS_NG,1.0,1039.52089,,,,,,unknown,0
NOM:33020_MORAGA  _115_35101_SN LNDRO_115_BR_2 _1,2.0,1025.25559,MORAGA,SNLNDRO,115.0,,250.0,voltage proxy 115 kV,0
NOM:34724_KRN OL J_115_34797_KERNWTP2_115_BR_1 _1,1.0,1000.0,KRNOLJ,KERNWTP2,115.0,,250.0,voltage proxy 115 kV,0
NOM:31962_WDLND_BM_115_31970_WOODLD  _115_BR_1 _1,1.0,1000.0,WOODLD,,115.0,,250.0,voltage proxy 115 kV,0
ITC:SRP_NET_ITC,2.0,787.24319,SRP,,,,,unknown,0
NOM:30055_GATES1  _500_30900_GATES   _230_XF_11_P,1.0,731.44283,GATES1,GATES,500.0,Midway -Los Banos,5400.0,WECC path 15,5
ITC:WECC_Path_41,2.0,707.4335,WECC,,,,,unknown,0
NOM:22668_POWAY   _69.0_22664_POMERADO_69.0_BR_1 _1,1.0,686.1803100000001,POWAY,POMERADO,69.0,,150.0,voltage proxy 69 kV,0
ITC:NWMT_AMPS_EAST,1.0,512.46809,NWMT,,,,,unknown,0
NOM:115kv SGLLine,1.0,402.78192,,,115.0,,250.0,voltage proxy 115 kV,0
NOM:30348_BRIGHTON_230_30500_BELLOTA _230_BR_1 _1,1.0,372.16587,BRIGHTON,BELLOTA,230.0,,700.0,voltage proxy 230 kV,0
ITC:LoneMesa345_34X1,1.0,358.10495,LoneMesa345,,,,,unknown,0
ITC:MCL_PE_SHW_V682,1.0,338.57453,MCL,,,,,unknown,0
ITC:PNM_SRP_ITC,1.0,328.26469,PNM,,,,,unknown,0
ITC:LDWP_IPPDC-NS,1.0,280.79754,LDWP,,,,,unknown,0
NOM:24607_ROADWAY _115_24702_KRAMER  _115_BR_1 _1,1.0,250.60116,ROADWAY,KRAMER,115.0,,250.0,voltage proxy 115 kV,0
NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1,1.0,234.84841,MESACAL,LAGUBELL,230.0,,700.0,voltage proxy 230 kV,0
NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,1.0,231.43896,TESLA,LOSBANOS,500.0,,2500.0,voltage proxy 500 kV,0
NOM:7320_CP6_NG,1.0,210.83614000000003,,,,,,unknown,0
NOM:7410_CP26_NG,1.0,207.04489,,,,,,unknown,0
ITC:PACE_POPWEST_ITC,1.0,202.23286,PACE,,,,,unknown,0
NOM:22846_SANJCP_230-22260_ESCNDO_230-BR1,1.0,153.28099,SANJCP,ESCNDO,230.0,,700.0,voltage proxy 230 kV,0
ITC:HA-RE_345KV,1.0,143.64379,HA,RE,345.0,West of Hatwai,4277.0,WECC path 6,2
NOM:22124_CHCARITA_138_22437_NCMTAP  _138_BR_1 _1,1.0,127.22512,CHCARITA,NCMTAP,138.0,,,voltage 138 kV (no proxy),0
ITC:RUD T230H5001A,1.0,124.31213,RUD,,,,,unknown,0
NOM:24087_MAGUNDEN_230_24401_ANTELOPE_230_BR_1 _1,1.0,116.77761,MAGUNDEN,ANTELOPE,230.0,,700.0,voltage proxy 230 kV,0
NOM:24036_EAGLROCK_230_24059_GOULD   _230_BR_1 _1,1.0,96.45919,EAGLROCK,GOULD,230.0,,700.0,voltage proxy 230 kV,0
NOM:22596_OLD TOWN_230_22504_MISSION _230_BR_1 _1,1.0,96.2797,OLDTOWN,MISSION,230.0,,700.0,voltage proxy 230 kV,0
NOM:22556_NAVSTMTR_69.0_22824_SWTWTRTP_69.0_BR_1 _1,1.0,80.44058,NAVSTMTR,SWTWTRTP,69.0,,150.0,voltage proxy 69 kV,0
NOM:30500_BELLOTA _230_30501_BLLTA 1M_ 1.0_XF_1,1.0,52.07472,BELLOTA,,230.0,,700.0,voltage proxy 230 kV,0
NOM:35122_NWARK EF_115_36851_NORTHERN_115_BR_2 _1,1.0,44.41376,NWARKEF,NORTHERN,115.0,,250.0,voltage proxy 115 kV,0
NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,2.0,17.11182,GATES1,MIDWAY,500.0,Midway -Los Banos,5400.0,WECC path 15,5
NOM:30015_TABLE MT_500_30030_VACA-DIX_500_BR_1 _3,1.0,16.09759,TABLEMT,VACA-DIX,500.0,,2500.0,voltage proxy 500 kV,0
NOM:7820_TL 230S_IV-SX-OUT_NG,1.0,13.58706,,,,,,unknown,0
NOM:38615_DS AMIGO_230_30790_PANOCHE _230_BR_1 _1,1.0,10.70116,DSAMIGO,PANOCHE,230.0,,700.0,voltage proxy 230 kV,0
