constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
NOM:7690-CONTRL-INYOKN_EXP_NG|Base Case,2374,-1245426.84899,1245426.84899,0.0,-1757.67062,1245426.84899,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 WHELRG-WEEDPC 70,1413,1177274.96148,1177274.96148,2373.90129,0.0,1177274.96148,NOM
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1|PG1 EGLRK-SLVR-FLTN 115_M,974,784881.5411999999,784881.5411999999,1419.45458,0.0,784881.5411999999,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD1 MIGUEL-JMACHA_1 69,2021,735431.79244,735431.79244,1400.0257,0.0,735431.79244,NOM
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1|PG1 LOSBNS 500-230 BK1,2562,639912.58499,639912.58499,714.70658,0.0,639912.58499,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|Base Case,357,344044.34724000003,344044.34724000003,3709.67552,0.0,344044.34724000003,NOM
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1|Base Case,2101,276992.07853,276992.07853,376.86083,0.0,276992.07853,NOM
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1|PG1 MCCALL-MSTANS 230,919,247210.33099000005,247210.33099000005,4373.83574,0.0,247210.33099000005,NOM
ITC:Line_MA-SLL_69KV|I|SD1 NGILA-IVALLY 500,593,231882.66237999997,231882.66237999997,1866.18769,0.0,231882.66237999997,ITC
ITC:Line_MA-OD_69KV|I|SD1 NGILA-IVALLY 500,538,227615.48127,227615.48127,1910.33492,0.0,227615.48127,ITC
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 MOSSLD-LOSBNS 500,693,226788.30723,226788.30723,1468.16399,0.0,226788.30723,NOM
NOM:35642_METCALF _115_30735_METCALF _230_XF_2|PG1 METCLF BUS 2D 230,358,196378.77607999998,196378.77607999998,1409.49676,0.0,196378.77607999998,NOM
NOM:22824_SWTWTRTP_69.0_22820_SWEETWTR_69.0_BR_1 _1|SD2 MIGUEL-MSION 1+2 230,174,167983.97536,167983.97536,2342.03256,0.0,167983.97536,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD1 SXCYN-PQUTOS 230,410,153308.97400000002,153308.97400000002,1365.74589,0.0,153308.97400000002,NOM
NOM:7820_PK_EC_OVERLOAD_NG|Base Case,908,-112973.88162000001,112973.88162000001,0.0,-1535.15147,112973.88162000001,NOM
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1|PG1 EGLRK-SLVR-FLTN 115_M,106,103583.32014,103583.32014,1174.80017,0.0,103583.32014,NOM
NOM:99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1|Base Case,306,94500.51938000001,94500.51938000001,1135.20369,0.0,94500.51938000001,NOM
NOM:35658_LS ESTRS_115_35659_NORTECH _115_BR_1 _1|SV1 SVPSSS-NRTHRN 230,382,88588.90418000001,88588.90418000001,911.55531,0.0,88588.90418000001,NOM
NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1|PG1 MCCALL-MSTANS 230,108,80590.11089000001,80590.11089000001,1726.57794,0.0,80590.11089000001,NOM
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|PG1 TRNQSS-KERNEY 230_M,353,78323.56306,78323.56306,1251.29289,0.0,78323.56306,NOM
NOM:34100_CHWCHLLA_115_34101_CERTANJ2_115_BR_1 _1|PG1 WILSON-LGRAND 115,131,76590.93856,76590.93856,3049.34685,0.0,76590.93856,NOM
NOM:34101_CERTANJ2_115_34116_LE GRAND_115_BR_1 _1|PG1 WILSON-LGRAND 115,220,75230.20955,75230.20955,3519.8114,0.0,75230.20955,NOM
NOM:34101_CERTANJ2_115_34116_LE GRAND_115_BR_1 _1|PG1 TRNQSS-HELM 230,243,73442.56422,73442.56422,2419.87231,0.0,73442.56422,NOM
NOM:22832_SYCAMORE_230_22652_PENSQTOS_230_BR_1 _1|SD2 MIGUEL-MSION 1+2 230,564,71239.42178,71239.42178,390.48132,0.0,71239.42178,NOM
NOM:34366_SANGER  _115_34370_MC CALL _115_BR_3 _1|PG1 MCCALL-SANGER_2 115,138,68098.34945000001,68098.34945000001,1438.54144,0.0,68098.34945000001,NOM
NOM:34898_BAKRSFLD_70.0_34902_MAGUNDEN_70.0_BR_1 _1|Base Case,104,64172.151,64172.151,1475.52074,0.0,64172.151,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES-LOSBNS_1 500,564,63383.305459999996,63383.305459999996,640.22962,0.0,63383.305459999996,NOM
NOM:7820_TL 230S_OVERLOAD_NG|Base Case,729,-57476.866819999996,57476.866819999996,0.0,-1470.51707,57476.866819999996,NOM
NOM:34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1|Base Case,2363,57463.346150000005,57472.568770000005,952.69509,-2.17695,57463.346150000005,NOM
ITC:YU XFMR2 A  69KV|I|SD1 NGILA-IVALLY 500,147,44654.09357,44654.09357,1332.47373,0.0,44654.09357,ITC
NOM:30885_MUSTANGS_230_30900_GATES   _230_BR_2 _1|PG1 GATES-MSTANS 230 1,108,42989.50666,42989.50666,2381.58685,0.0,42989.50666,NOM
NOM:33543_AEC_TP2 _115_33540_TESLA   _115_BR_1 _1|PG1 TESLA-SCHLTE_1 115_M,807,42342.16479,42342.16479,641.32603,0.0,42342.16479,NOM
NOM:22420_SILVERGT_69.0_22144_CORONADO_69.0_BR_1 _1|SD1 STA B-SLVRGT_2 69,55,42223.540369999995,42223.540369999995,1000.0,0.0,42223.540369999995,NOM
NOM:35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1|SV1 SVPSSS-NRTHRN 230,90,41495.12456,41495.12456,1072.28966,0.0,41495.12456,NOM
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|PG1 MNDOTA-PNOCHE 115,991,39599.74340000001,39599.74340000001,191.22613,0.0,39599.74340000001,NOM
NOM:22480_MIRAMAR _69.0_22756_SCRIPPS _69.0_BR_1 _1|SD1 SXCYN-PQUTOS 230,92,34635.94526,34635.94526,1345.2658,0.0,34635.94526,NOM
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|Base Case,208,33826.01666,33826.01666,3130.68779,0.0,33826.01666,NOM
NOM:34100_CHWCHLLA_115_34101_CERTANJ2_115_BR_1 _1|PG1 TRNQSS-HELM 230,39,32571.059179999997,32571.059179999997,3379.29631,0.0,32571.059179999997,NOM
NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1|PG1 TRNQSS-KERNEY 230_M,54,32265.95267,32265.95267,1423.92267,0.0,32265.95267,NOM
NOM:22464_MIGUEL  _230_22468_MIGUEL  _500_XF_81|Base Case,95,30712.49905,30712.49905,1025.63241,0.0,30712.49905,NOM
NOM:34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1|PG1 WILSON-LGRAND 115,75,29923.373369999998,29923.373369999998,2762.7985,0.0,29923.373369999998,NOM
NOM:34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1|Base Case,1219,29505.26322,29505.26322,248.20302,0.0,29505.26322,NOM
NOM:34101_CERTANJ2_115_34116_LE GRAND_115_BR_1 _1|PG1 MCCALL-MSTANS 230,61,29415.526670000003,29415.526670000003,2842.21436,0.0,29415.526670000003,NOM
NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1|Base Case,44,27612.57226,27612.57226,1497.08965,0.0,27612.57226,NOM
NOM:22886_SUNCREST_230_92861_SUNC TP2_230_BR_2 _1|Base Case,105,27342.51221,27342.51221,409.81266,0.0,27342.51221,NOM
NOM:34418_KINGSBRG_115_34405_FRWT TAP_115_BR_1 _1|PG1 KNGBRG-WAUKNA 115,734,26513.651339999997,26513.651339999997,576.52514,0.0,26513.651339999997,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES BUS 2 500,325,25577.939179999998,25577.939179999998,336.96775,0.0,25577.939179999998,NOM
NOM:33501_FRGTNTP1_115_33500_MELNS JA_115_BR_1 _1|Base Case,296,25336.738039999997,25336.738039999997,1000.0,0.0,25336.738039999997,NOM
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|PG1 TRNQSS-HELM 230,59,24928.17249,24928.17249,1426.65967,0.0,24928.17249,NOM
NOM:7410_CP24_NG|Base Case,749,-22432.01868,22432.01868,0.0,-80.87823,22432.01868,NOM
NOM:30881_HENRIETA_230_34430_HENRETTA_115_XF_3|PG1 MCCALL-MSTANS 230,35,22368.07419,22368.07419,1000.0,0.0,22368.07419,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD1 MSSION-MURRAY_2 69,72,22167.31903,22167.31903,1000.0,0.0,22167.31903,NOM
NOM:7820_TL23040_IV_SPS_NG|Base Case,129,-21809.613559999998,21809.613559999998,0.0,-1476.72289,21809.613559999998,NOM
NOM:99100_PIT-ESH1_230_30560_E. SHORE_230_BR_1 _2|PG1 EASTSH-SANMAT 230,296,21066.43872,21066.43872,306.26707,0.0,21066.43872,NOM
NOM:34429_GWF_HEP _115_34428_CONTADNA_115_BR_1 _1|PG1 MCCALL-MSTANS 230,12,19540.10869,19540.10869,4009.37461,0.0,19540.10869,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|Base Case,26,18846.10337,18846.10337,1498.41415,0.0,18846.10337,NOM
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1|PG1 TRNQSS-HELM 230,25,17617.177150000003,17617.177150000003,2734.32272,0.0,17617.177150000003,NOM
NOM:37563_MELONES _230_30800_WILSON  _230_BR_1 _1|Base Case,29,17587.637179999998,17587.637179999998,1686.40197,0.0,17587.637179999998,NOM
NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1|Base Case,13,17537.92758,17537.92758,1800.8543,0.0,17537.92758,NOM
NOM:31336_HPLND JT_60.0_31206_HPLND JT_115_XF_2|PG1 EGLRCK-GYS5X6 115,141,17530.86347,17530.86347,255.08585,0.0,17530.86347,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 GATES 500-230 BK12,180,17240.93898,17240.93898,231.38815,0.0,17240.93898,NOM
NOM:7430_CP6_NG|Base Case,168,-17223.44572,17223.44572,0.0,-681.64316,17223.44572,NOM
NOM:34880_SN BRNRD_70.0_39021_SC21ATP _70.0_BR_1 _1|PG1 WHELRG-WEEDPC 70,26,16295.79865,16295.79865,1076.83794,0.0,16295.79865,NOM
ITC:YU XFMR4 A  69KV|I|SD1 NGILA-IVALLY 500,14,15531.79396,15531.79396,1543.95951,0.0,15531.79396,ITC
NOM:33500_MELNS JA_115_33509_AVENATP1_115_BR_1 _1|PG1 BELOTA-RBK-MELON 115_M,93,14354.25713,14354.25713,286.1115,0.0,14354.25713,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 LOSBNS 500-230 BK1,130,14079.53791,14079.53791,1454.27078,0.0,14079.53791,NOM
NOM:30879_HENTAP1 _230_30885_MUSTANGS_230_BR_1 _1|PG1 TRNQSS-HELM 230,13,13856.37029,13856.37029,2162.52646,0.0,13856.37029,NOM
NOM:34101_CERTANJ2_115_34116_LE GRAND_115_BR_1 _1|Base Case,39,13808.01904,13808.01904,1064.75527,0.0,13808.01904,NOM
NOM:32218_DRUM    _115_32244_BRNSWKT2_115_BR_2 _1|PG1 RIOOSO BUS 1+2 230_M,42,13754.60382,13754.60382,1000.0,0.0,13754.60382,NOM
NOM:7760_DEV_RDB_ALIS|Base Case,306,-13512.923829999998,13512.923829999998,0.0,-148.25441,13512.923829999998,NOM
NOM:24801_DEVERS  _500_99014_CALCAPS2_500_BR_2 _1|SD1 NGILA-IVALLY 500,307,12757.87948,12757.87948,134.12736,0.0,12757.87948,NOM
NOM:33500_MELNS JA_115_33509_AVENATP1_115_BR_1 _1|Base Case,56,12195.388870000002,12195.388870000002,422.53902,0.0,12195.388870000002,NOM
NOM:30585_LS PSTAS_230_30630_NEWARK  _230_BR_1 _1|PG1 TESLA-NEWARK 230 2_M,24,11976.614560000002,11976.614560000002,882.8497,0.0,11976.614560000002,NOM
ITC:WMesaWT2_448 MVA|I|PNM1 WSTMSA 345-115 BKT1,15,11760.8294,11760.8294,1000.0,0.0,11760.8294,ITC
NOM:34430_HENRETTA_115_34519_LPNJCTSS_115_BR_1 _1|PG1 MCCALL-MSTANS 230,22,11744.402039999999,11744.402039999999,1013.81676,0.0,11744.402039999999,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD2 MIGUEL-MSION 1+2 230,27,11665.33643,11665.33643,1220.6675,0.0,11665.33643,NOM
NOM:115kv HO|PNM1 SANJUAN-CABEZON 345,19,11624.743439999998,11624.743439999998,944.70359,0.0,11624.743439999998,NOM
NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1|SC1 MESAS EAST A BUS 230,9,11506.8598,11506.8598,1513.91861,0.0,11506.8598,NOM
NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1|PG1 DIABLO-GATES 500,260,11359.91279,11359.91279,89.21534,0.0,11359.91279,NOM
NOM:115kv NH|PNM1 SANJUAN-CABEZON 345,25,11346.56737,11346.56737,500.0,0.0,11346.56737,NOM
NOM:115kv NH|PNM1 CABEZN-RIOPUERC 345,25,11346.56737,11346.56737,500.0,0.0,11346.56737,NOM
NOM:34112_EXCHEQUR_115_34116_LE GRAND_115_BR_1 _1|Base Case,197,10438.3326,10438.3326,245.81713,0.0,10438.3326,NOM
NOM:30585_LS PSTAS_230_30630_NEWARK  _230_BR_1 _1|Base Case,29,10402.26022,10402.26022,1000.0,0.0,10402.26022,NOM
NOM:22556_NAVSTMTR_69.0_22824_SWTWTRTP_69.0_BR_1 _1|SD2 MIGUEL-MSION 1+2 230,10,10355.31008,10355.31008,2049.06792,0.0,10355.31008,NOM
NOM:22604_OTAY    _69.0_22616_OTAYLKTP_69.0_BR_1 _1|SD1 MIGUEL-SALTCK_1 69,173,10002.40059,10002.40059,501.6798,0.0,10002.40059,NOM
NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1|PG1 MCCALL-MSTANS 230,22,9557.00455,9557.00455,628.03705,0.0,9557.00455,NOM
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11|Base Case,214,9427.60918,9427.60918,79.80207,0.0,9427.60918,NOM
NOM:34158_PANOCHE _115_34350_KAMM    _115_BR_1 _1|PG1 PNOCHE-EXCLSS 115 2_M,358,9155.37989,9235.43189,79.77842,-9.41017,9155.37989,NOM
NOM:MIGUEL_BKs_MXFLW_NG|Base Case,120,-9034.79276,9034.79276,0.0,-167.17637,9034.79276,NOM
ITC:TEPC_BA_IMP_ITC|I|Base Case,204,-8933.821300000001,8933.821300000001,0.0,-999.80326,8933.821300000001,ITC
NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3|Base Case,225,8904.02104,8904.02104,100.67167,0.0,8904.02104,NOM
ITC:EAST_WYO_EXP|E|Base Case,202,8829.692420000001,8829.692420000001,80.61813,0.0,8829.692420000001,ITC
NOM:34366_SANGER  _115_34370_MC CALL _115_BR_3 _1|PG1 TRNQSS-KERNEY 230_M,11,8721.88966,8721.88966,1267.85435,0.0,8721.88966,NOM
NOM:VC_TL_681B_import_NG|Base Case,1095,-8572.09068,8572.09068,0.0,-48.53464,8572.09068,NOM
NOM:33932_MELONES _115_33936_MELNS JB_115_BR_1 _1|PG1 STANIS-MELONS-MANTEC 115 1,92,8523.43265,8523.43265,629.30508,0.0,8523.43265,NOM
NOM:34100_CHWCHLLA_115_34101_CERTANJ2_115_BR_1 _1|Base Case,9,8192.62168,8192.62168,1455.45155,0.0,8192.62168,NOM
NOM:OMS_18316810_SANLUS_1WCB_Exp2|Base Case,154,-8004.39328,8004.39328,0.0,-256.96265,8004.39328,NOM
NOM:37563_MELONES _230_30800_WILSON  _230_BR_1 _1|PG1 TRNQSS-HELM 230,16,7966.5317700000005,7966.5317700000005,965.91958,0.0,7966.5317700000005,NOM
NOM:24386_MESA CAL_500_24394_MESA4I  _13.8_XF_4H|SC1 MESAS 500-230 BK2AA,13,7902.6433099999995,7902.6433099999995,1317.83493,0.0,7902.6433099999995,NOM
NOM:24402_ANTELOPE_66.0_24420_NEENACH _66.0_BR_1 _1|Base Case,202,7893.1698799999995,7893.1698799999995,74.33982,0.0,7893.1698799999995,NOM
NOM:32218_DRUM    _115_32244_BRNSWKT2_115_BR_2 _1|Base Case,6,7886.170950000001,7886.170950000001,2089.88821,0.0,7886.170950000001,NOM
NOM:30875_MC CALL _230_34370_MC CALL _115_XF_1 _P|PG1 MCCALL 230-115 BK2,82,7778.865599999999,7778.865599999999,1000.0,0.0,7778.865599999999,NOM
