constraint_key,n_binding_intervals,sum_mu,sum_abs_mu,max_mu,min_mu,abs_sum_mu,type
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|PG1 WHELRG-WEEDPC 70,2626,2201646.01184,2203718.35604,1721.53846,-807.44664,2201646.01184,NOM
NOM:39021_SC21ATP _70.0_34888_ARVIN   _70.0_BR_1 _1|Base Case,425,664533.96698,664533.96698,3878.57581,0.0,664533.96698,NOM
NOM:7690-CONTRL-INYOKN_EXP_NG|Base Case,991,-534313.6467800001,534313.6467800001,0.0,-1440.90909,534313.6467800001,NOM
NOM:31336_HPLND JT_60.0_31370_CLVRDLJT_60.0_BR_1 _1|PG1 EGLRK-SLVR-FLTN 115_M,448,336607.33537,336607.33537,1311.9601,0.0,336607.33537,NOM
NOM:34548_KETTLEMN_70.0_34552_GATES   _70.0_BR_1 _1|Base Case,2728,327365.76931999996,327365.76931999996,211.67681,0.0,327365.76931999996,NOM
NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1|PG1 LOSBNS 500-230 BK1,1731,323375.58415,323375.58415,1143.01753,0.0,323375.58415,NOM
NOM:92321_SYCA TP2_230_22832_SYCAMORE_230_BR_2 _1|SD1 ECONTY-MIGUEL 500_M,2642,315039.73828,315039.73828,557.17804,0.0,315039.73828,NOM
NOM:99254_J.HINDS2_230_24806_MIRAGE  _230_BR_1 _1|Base Case,925,292022.32705,292022.32705,1402.65064,0.0,292022.32705,NOM
NOM:22208_EL CAJON_69.0_22408_LOSCOCHS_69.0_BR_1 _1|SD1 MIGUEL-JMACHA_1 69,619,283368.56769,283368.56769,1400.83438,0.0,283368.56769,NOM
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1|PG1 EGLRCK-REDBUD 115,253,282868.16653000005,282868.16653000005,2486.91025,0.0,282868.16653000005,NOM
NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1|PG1 MOSSLD-LOSBNS 500,714,270988.4602,270988.4602,1214.13767,0.0,270988.4602,NOM
NOM:32225_BRNSWKT1_115_32222_DTCH2TAP_115_BR_1 _1|PG1 BELL-HIGGNS 115,411,259613.64585,259613.64585,1597.21774,0.0,259613.64585,NOM
ITC:WMesaWT2_448 MVA|I|PNM1 WSTMSA 345-115 BKT1,289,218733.08177000002,218733.08177000002,1518.80218,0.0,218733.08177000002,ITC
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|Base Case,570,198572.62374000004,198572.62374000004,1445.62399,0.0,198572.62374000004,NOM
NOM:31334_CLER LKE_60.0_31338_KONOCTI6_60.0_BR_1 _1|PG1 EGLRK-SLVR-FLTN 115_M,188,173669.37693000003,173669.37693000003,1106.02439,0.0,173669.37693000003,NOM
ITC:Line_MA-OD_69KV|I|SD1 NGILA-IVALLY 500,362,162068.1821,162068.1821,1826.74284,0.0,162068.1821,ITC
ITC:Line_MA-SLL_69KV|I|SD1 NGILA-IVALLY 500,372,158606.12026999998,158606.12026999998,1995.74381,0.0,158606.12026999998,ITC
NOM:34321_MCSWAINJ_70.0_34232_EXCHEQUR_70.0_BR_1 _1|PG1 WILSON-LGRAND 115,525,152218.1125,152218.1125,1341.24486,0.0,152218.1125,NOM
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1|Base Case,530,125383.01254000001,125383.01254000001,3531.40663,0.0,125383.01254000001,NOM
NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1|PG1 MNDOTA-PNOCHE 115,2956,124687.12187,124687.12187,200.38515,0.0,124687.12187,NOM
NOM:33008_GRIZLYJ2_115_33010_SOBRANTE_115_BR_2 _1|PG1 SOBRNT-GR-CL 115 1_M_RT,172,123146.33499999999,123146.33499999999,1537.87599,0.0,123146.33499999999,NOM
ITC:WMesaET1_448 MVA|I|PNM1 WSTMSA 345-115 BKT2,127,122007.02445999999,122007.02445999999,2115.10444,0.0,122007.02445999999,ITC
NOM:35107_DUMBARTN_115_35120_NEWARK D_115_BR_1 _1|PG1 EASTSH-SANMAT 230,875,115256.63466999998,115256.63466999998,1272.67339,0.0,115256.63466999998,NOM
NOM:35120_NEWARK D_115_36851_NORTHERN_115_BR_1 _1|PG1 NEWARK-NWRKDST 230,374,108395.79602000001,108395.79602000001,1000.0,0.0,108395.79602000001,NOM
NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11|Base Case,2539,107191.52953,107191.52953,182.21923,0.0,107191.52953,NOM
NOM:34860_TAFT    _70.0_34943_Q356TAP _70.0_BR_1 _1|Base Case,2909,88406.43247,88782.32161000001,103.1402,-64.31357,88406.43247,NOM
NOM:35642_METCALF _115_30735_METCALF _230_XF_2|PG1 METCLF BUS 2D 230,157,77560.61581,77560.61581,1108.69768,0.0,77560.61581,NOM
NOM:34471_SNJQJCT _70.0_34469_GFFNJCT _70.0_BR_1 _1|Base Case,2613,70092.3073,70092.3073,143.89312,0.0,70092.3073,NOM
NOM:34418_KINGSBRG_115_34428_CONTADNA_115_BR_1 _1|PG1 MCCALL-MSTANS 230,237,65297.24599999999,65297.24599999999,1454.91865,0.0,65297.24599999999,NOM
