node,spread_D2,spread_D4,spread_D8,rank_D2,rank_D4,rank_D8,rank_shift_2_vs_8
0096WD_7_N001,47.4627843872549,84.46673590686274,135.36426382352943,507.0,479.0,435.0,72.0
1501WDC2_7_ND001,57.52033656862746,107.67475078431373,179.20867696078435,396.0,334.0,323.0,73.0
2C559EQ2_7_N001,47.4627843872549,84.46673590686274,134.98054965686276,507.0,479.0,436.0,71.0
2C559_1_B1,47.4627843872549,84.46673590686274,134.98054965686276,507.0,479.0,436.0,71.0
2C577C1_7_N001,186.70379659313727,292.11653875,440.23454772058824,51.0,51.0,74.0,23.0
2PBLSM34_7_N001,20.8410031127451,35.89615301470588,45.64265848039216,1772.0,1518.0,1542.0,230.0
3PEAKS_GNODE1,6.791496078431374,10.998924509803922,15.209011274509804,2042.0,2039.0,2039.0,3.0
4C687C2_7_N001,36.684945612745096,60.41567602941177,92.70001007352941,742.0,778.0,732.0,10.0
4C687_1_B1,36.684945612745096,60.41567602941177,92.70001007352941,742.0,778.0,732.0,10.0
4C744C12_7_N001,47.4627843872549,84.46673590686274,134.98054965686276,507.0,479.0,436.0,71.0
4C744C22_7_N001,47.4627843872549,84.46673590686274,134.98054965686276,507.0,479.0,436.0,71.0
4C744C32_7_N001,47.4627843872549,84.46673590686274,134.98054965686276,507.0,479.0,436.0,71.0
4C744C42_7_N001,47.4627843872549,84.46673590686274,134.98054965686276,507.0,479.0,436.0,71.0
90TH.SO_GNODEPDRP1,4.038136274509804,6.644840000000001,8.78898375,2121.0,2108.0,2096.0,25.0
ACACIA_7_N001,20.026325,35.39503745098039,41.392169754901964,1809.0,1559.0,1736.0,73.0
ADCC_2_N001,32.17902600490196,55.719091666666664,89.4645494117647,893.0,905.0,830.0,63.0
ADERAG1_7_N001,188.18931710784312,293.9137061029412,459.49198764705886,49.0,49.0,57.0,8.0
ADRATAP_1_B1,188.18931710784312,293.9137061029412,459.49198764705886,49.0,49.0,57.0,8.0
AGATEBAY_7_GNODE1,25.56342426470588,40.67181129901961,53.97384992647059,1243.0,1128.0,1220.0,23.0
AGRCJCT_6_B1,139.5302400980392,246.4983494607843,398.0453197549019,115.0,100.0,107.0,8.0
AGRICO_7_NBT1,139.5302400980392,246.4983494607843,398.0453197549019,115.0,100.0,107.0,8.0
AGUCALG1_7_B1,36.8971112745098,62.442923039215685,89.69976625,734.0,730.0,810.0,76.0
AIRPORT_GNODE1,22.000843602941178,31.50212671568627,37.2527012254902,1681.0,1876.0,1904.0,223.0
AKINGS02_7_N001,68.21970105392157,129.98224477941176,229.37682526960788,317.0,250.0,230.0,87.0
ALAMITOS_2_B1,24.693599705882356,40.39149916666667,49.14461213235295,1310.0,1159.0,1463.0,153.0
ALAMIT_7_NBT2,24.693599705882356,40.39149916666667,49.14461213235295,1310.0,1159.0,1463.0,153.0
ALAMOSC_7_N001,25.797807156862746,37.759540073529415,48.66828926470589,1219.0,1458.0,1476.0,257.0
ALAMT1G_7_B1,24.693599705882356,40.39149916666667,49.14461213235295,1310.0,1159.0,1463.0,153.0
ALAMT2G_7_B1,24.693599705882356,40.39149916666667,49.14461213235295,1310.0,1159.0,1463.0,153.0
ALAMT3G_7_B1,24.693599705882356,40.39149916666667,49.14461213235295,1310.0,1159.0,1463.0,153.0
ALAMT4G_7_B1,24.693599705882356,40.39149916666667,49.14461213235295,1310.0,1159.0,1463.0,153.0
ALAMT5G_7_B1,24.693599705882356,40.39149916666667,49.14461213235295,1310.0,1159.0,1463.0,153.0
