Aggregate PNode ID,PNode ID,DESCRIPTION,abbrev,Plant Code,Plant Name,State,Latitude,Longitude,match_score,second_best,placement
TH_NP15_GEN-APND,LUNAVL_7_ND001,TH_NP15_GEN-APND,LUNAVL,,,,,,,,unplaced
TH_SP15_GEN-APND,MPBBT5_7_CN1,TH_SP15_GEN-APND,MPBBT,,,,,,,,unplaced
TH_SP15_GEN-APND,ALAMT2G_7_B1,TH_SP15_GEN-APND,ALAMT,315.0,AES Alamitos LLC,CA,33.7688,-118.1009,99.0,0.0,precise
TH_SP15_GEN-APND,MVMPT_7_B1ND003,TH_SP15_GEN-APND,MVMPT,,,,,,,,unplaced
TH_SP15_GEN-APND,BERNARDO_6_N001,TH_SP15_GEN-APND,BERNARDO,,,,,,,,unplaced
TH_NP15_GEN-APND,MONTAGUE_1_N011,TH_NP15_GEN-APND,MONTAGUE,,,,,,,,unplaced
TH_SP15_GEN-APND,GARNET_7_N006,TH_SP15_GEN-APND,GARNET,,,,,,,,unplaced
TH_ZP26_GEN-APND,GATES_6_B1,TH_ZP26_GEN-APND,GATES,,,,,,,,unplaced
TH_SP15_GEN-APND,Q1166_7_N002,TH_SP15_GEN-APND,Q,,,,,,,,unplaced
TH_SP15_GEN-APND,LKHODG2_7_N002,TH_SP15_GEN-APND,LKHODG,,,,,,,,unplaced
TH_SP15_GEN-APND,ALTA1G_7_B1,TH_SP15_GEN-APND,ALTA,,,,,,,,unplaced
TH_SP15_GEN-APND,GOULD_2_B1,TH_SP15_GEN-APND,GOULD,,,,,,,,unplaced
TH_SP15_GEN-APND,IVSOLARS_7_N007,TH_SP15_GEN-APND,IVSOLARS,57498.0,Five Points Solar Station,CA,36.400278,-120.103333,8.0,0.0,precise
TH_ZP26_GEN-APND,Q885C2_7_N001,TH_ZP26_GEN-APND,Q,,,,,,,,unplaced
TH_SP15_GEN-APND,SUNRAY2_7_N001,TH_SP15_GEN-APND,SUNRAY,,,,,,,,unplaced
TH_ZP26_GEN-APND,STOCKDL_2_N002,TH_ZP26_GEN-APND,STOCKDL,,,,,,,,unplaced
TH_NP15_GEN-APND,POTTRVLY_7_N003,TH_NP15_GEN-APND,POTTRVLY,,,,,,,,unplaced
TH_SP15_GEN-APND,ASTORIA1_7_N001,TH_SP15_GEN-APND,ASTORIA,59977.0,RE Astoria 2,CA,34.836649,-118.480204,7.0,0.0,precise
TH_NP15_GEN-APND,COLSTJT_1_B1,TH_NP15_GEN-APND,COLSTJT,,,,,,,,unplaced
TH_SP15_GEN-APND,TOT210S1_7_N002,TH_SP15_GEN-APND,TOT,,,,,,,,unplaced
TH_ZP26_GEN-APND,GWF_CT2_7_N003,TH_ZP26_GEN-APND,GWF,,,,,,,,unplaced
TH_SP15_GEN-APND,TOREYPNS_6_N001,TH_SP15_GEN-APND,TOREYPNS,,,,,,,,unplaced
TH_NP15_GEN-APND,HALSEYF_7_B1,TH_NP15_GEN-APND,HALSEYF,241.0,Halsey,CA,38.956985,-121.041932,6.0,0.0,precise
TH_NP15_GEN-APND,HAYPRESS_6_N003,TH_NP15_GEN-APND,HAYPRESS,10253.0,Haypress,CA,39.565677,-120.581684,8.0,0.0,precise
TH_SP15_GEN-APND,LACSD_7_B2,TH_SP15_GEN-APND,LACSD,,,,,,,,unplaced
TH_SP15_GEN-APND,YELWPN1_7_N002,TH_SP15_GEN-APND,YELWPN,,,,,,,,unplaced
TH_SP15_GEN-APND,VALLEYSC_1_N230,TH_SP15_GEN-APND,VALLEYSC,59657.0,"Imperial Valley Solar Co (IVSC) 2, LLC",CA,33.252222,-115.4975,8.0,0.0,precise
TH_ZP26_GEN-APND,BUENAVT_2_N006,TH_ZP26_GEN-APND,BUENAVT,56446.0,Buena Vista Energy LLC,CA,37.805,-121.6672,7.0,0.0,precise
TH_SP15_GEN-APND,MCFLND_7_N010,TH_SP15_GEN-APND,MCFLND,67498.0,McFarland C,AZ,32.946009,-113.491553,6.0,0.0,precise
TH_SP15_GEN-APND,SAUGUS_6_N008,TH_SP15_GEN-APND,SAUGUS,,,,,,,,unplaced
TH_SP15_GEN-APND,MESAS_7_NYOR,TH_SP15_GEN-APND,MESAS,65053.0,Blythe Mesa Solar II,CA,33.640813,-114.680261,5.0,0.0,precise
TH_ZP26_GEN-APND,GWF_GT2_7_N003,TH_ZP26_GEN-APND,GWF,,,,,,,,unplaced
TH_SP15_GEN-APND,VICTOR_7_N018,TH_SP15_GEN-APND,VICTOR,65743.0,Victory Pass,CA,33.701001,-115.316292,6.0,0.0,precise
TH_NP15_GEN-APND,BOWMNTAP_6_B1,TH_NP15_GEN-APND,BOWMNTAP,,,,,,,,unplaced
TH_SP15_GEN-APND,GARNET_7_N013,TH_SP15_GEN-APND,GARNET,,,,,,,,unplaced
TH_SP15_GEN-APND,SUNGEN5G_7_N001,TH_SP15_GEN-APND,SUNGEN,52169.0,Midway Sunset Cogen,CA,35.2269,-119.6294,6.0,0.0,precise
TH_NP15_GEN-APND,CALISTGA_6_N004,TH_NP15_GEN-APND,CALISTGA,50066.0,Calistoga Power Plant,CA,38.7879,-122.7434,8.0,0.0,precise
TH_ZP26_GEN-APND,CUYAMAGN_7_N001,TH_ZP26_GEN-APND,CUYAMAGN,60043.0,"Cuyama Solar, LLC",CA,34.901,-119.596,6.0,0.0,precise
TH_NP15_GEN-APND,GLDHLGNC_7_N001,TH_NP15_GEN-APND,GLDHLGNC,,,,,,,,unplaced
TH_SP15_GEN-APND,MOORPARK_6_N001,TH_SP15_GEN-APND,MOORPARK,,,,,,,,unplaced
TH_SP15_GEN-APND,RECTOR_6_N001,TH_SP15_GEN-APND,RECTOR,58202.0,RE Victor Phelan Solar One LLC,CA,34.51231,-117.47753,6.0,0.0,precise
TH_SP15_GEN-APND,ETIWANDA_6_N011,TH_SP15_GEN-APND,ETIWANDA,745.0,Etiwanda,CA,34.10345,-117.5257,99.0,0.0,precise
TH_NP15_GEN-APND,PLSNTGR_6_N013,TH_NP15_GEN-APND,PLSNTGR,,,,,,,,unplaced
TH_SP15_GEN-APND,MVMPT_7_B2ND002,TH_SP15_GEN-APND,MVMPT,,,,,,,,unplaced
TH_SP15_GEN-APND,RSMNDS_7_N013,TH_SP15_GEN-APND,RSMNDS,,,,,,,,unplaced
TH_SP15_GEN-APND,MESQSLR2_7_N002,TH_SP15_GEN-APND,MESQSLR,,,,,,,,unplaced
TH_NP15_GEN-APND,ESHORE_2_B1,TH_NP15_GEN-APND,ESHORE,66949.0,Sagebrush Solar 2 ESS 40,CA,35.0477,-118.2628,6.0,0.0,precise
TH_SP15_GEN-APND,DELSURC1_7_N003,TH_SP15_GEN-APND,DELSURC,,,,,,,,unplaced
TH_ZP26_GEN-APND,SHAFTER_7_N021,TH_ZP26_GEN-APND,SHAFTER,59408.0,Shafter Solar LLC,CA,35.393333,-119.127778,7.0,0.0,precise
TH_NP15_GEN-APND,Q678C2_7_N001,TH_NP15_GEN-APND,Q,,,,,,,,unplaced
TH_NP15_GEN-APND,SANDBAR_7_B1,TH_NP15_GEN-APND,SANDBAR,50400.0,Sand Bar Power Plant,CA,38.1861,-120.15,7.0,0.0,precise
TH_SP15_GEN-APND,ETIWANDA_6_N015,TH_SP15_GEN-APND,ETIWANDA,745.0,Etiwanda,CA,34.10345,-117.5257,99.0,0.0,precise
