node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
BLYTHESC_1_N008,PURPLE,253.89090544117647,0.0771605131680515,filled,3188625583.88556,ITC:Line_OD-AR_69KV,4277.0,WECC path 6,-24.13409875595238,18.816955,18.816955,24.13409875595238,672,745528.54428,5.965260734998491,ITC:Line_OD-AR_69KV | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:7820_TL 230S_OVERLOAD_NG,33% | 17% | 13% | 10% | 8%
BLYTHESC_1_N005,PURPLE,253.89090544117647,0.0771605131680515,filled,3188625583.88556,ITC:Line_OD-AR_69KV,4277.0,WECC path 6,-24.13409875595238,18.816955,18.816955,24.13409875595238,672,745528.54428,5.965260734998491,ITC:Line_OD-AR_69KV | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:7820_TL 230S_OVERLOAD_NG,33% | 17% | 13% | 10% | 8%
BLYTHESC_1_GN001,PURPLE,253.89090544117647,0.0771605131680515,filled,3188625583.88556,ITC:Line_OD-AR_69KV,4277.0,WECC path 6,-24.13409875595238,18.816955,18.816955,24.13409875595238,672,745528.54428,5.965260734998491,ITC:Line_OD-AR_69KV | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:7820_TL 230S_OVERLOAD_NG,33% | 17% | 13% | 10% | 8%
LITEHIPE_6_N006,RED,136.32724421568628,0.103185350584679,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-19.911467428571427,-1.5794963467261904,-1.5794963467261904,19.911467428571427,672,110420.84002,3.438297364164559,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 10% | 5%
ALAMITOS_2_B1,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
CTG1BGE_7_N001,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
ALAMT5G_7_B1,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
ALAMT6G_7_B1,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
CTG1AGE_7_N001,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
STG1SGE_7_N001,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
ALMERGB2_7_N001,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
ALAMIT_7_NBT2,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
ALAMT3G_7_B1,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
CENTERS_2_N036,RED,135.84333134803924,0.095262497460595,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.764683172619048,-1.5710095312500003,-1.5710095312500003,20.764683172619048,672,110420.84002,3.432241492037304,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,29% | 22% | 18% | 7% | 5%
CENTERS_6_N009,RED,135.84333134803924,0.095262497460595,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.764683172619048,-1.5710095312500003,-1.5710095312500003,20.764683172619048,672,110420.84002,3.432241492037304,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,29% | 22% | 18% | 7% | 5%
CENTERS_6_N010,RED,135.84333134803924,0.095262497460595,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.764683172619048,-1.5710095312500003,-1.5710095312500003,20.764683172619048,672,110420.84002,3.432241492037304,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,29% | 22% | 18% | 7% | 5%
CTRPKGEN_7_B1,RED,135.84333134803924,0.095262497460595,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.764683172619048,-1.5710095312500003,-1.5710095312500003,20.764683172619048,672,110420.84002,3.432241492037304,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,29% | 22% | 18% | 7% | 5%
CENTERS_6_N008,RED,135.84333134803924,0.095262497460595,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.764683172619048,-1.5710095312500003,-1.5710095312500003,20.764683172619048,672,110420.84002,3.432241492037304,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,29% | 22% | 18% | 7% | 5%
CENTERS_6_N004,RED,135.84333134803924,0.095262497460595,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.764683172619048,-1.5710095312500003,-1.5710095312500003,20.764683172619048,672,110420.84002,3.432241492037304,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,29% | 22% | 18% | 7% | 5%
PROSPEC2_NODE1,WHITE,112.42995286764707,0.0975868147022133,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,24.23898295238095,2.3914881026785713,2.3914881026785713,-24.23898295238095,672,110420.84002,2.242279194416399,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:6110_COI_S-N | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | ITC:NWMT_AMPS_EAST | ITC:PACE_PATHC_ITC,21% | 19% | 15% | 9% | 4%
ALAMT4G_7_B1,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
ALAMT2G_7_B1,RED,135.82761210784315,0.09990304162214,filled,276052100.05,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,2500.0,voltage proxy 500 kV,-20.020797422619047,-1.4899382663690477,-1.4899382663690477,20.020797422619047,672,110420.84002,3.4141887146270316,NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_S-N | NOM:24091_MESA CAL_230_24076_LAGUBELL_230_BR_2_1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,28% | 21% | 18% | 9% | 5%
