node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
GWF_GT1_7_N004,RED,71.73353083333333,0.1046650743326678,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-9.524566731182794,0.1987581384408602,0.1987581384408602,9.524566731182794,743,206350.26588000002,1.414641201879785,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,25% | 17% | 9% | 8% | 7%
COBURN_2_B1,WHITE,70.05931955882352,0.1347656849745536,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-1.0039581397849462,0.7611088575268811,0.7611088575268811,1.0039581397849462,743,206350.26588000002,1.1913461025444736,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,20% | 14% | 12% | 8% | 7%
OILFLDS_6_B1,WHITE,70.05931955882352,0.1347656849745536,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-1.0039581397849462,0.7611088575268811,0.7611088575268811,1.0039581397849462,743,206350.26588000002,1.1913461025444736,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,20% | 14% | 12% | 8% | 7%
SJNO2_6_N002,RED,69.94875098039216,0.1025453710552249,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-7.060284430107532,0.5917373051075271,0.5917373051075271,7.060284430107532,743,206350.26588000002,1.8536155516354818,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,34% | 9% | 8% | 8% | 7%
HIGGINS_1_N007,WHITE,29.201595098039217,0.1152210219273641,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,5.42125875268817,0.9291625739247316,0.9291625739247316,-5.42125875268817,743,206350.26588000002,0.6808966284514021,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3,21% | 21% | 10% | 9% | 5%
HIGGINS_1_GN001,WHITE,29.201595098039217,0.1152210219273641,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,5.42125875268817,0.9291625739247316,0.9291625739247316,-5.42125875268817,743,206350.26588000002,0.6808966284514021,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3,21% | 21% | 10% | 9% | 5%
WISHON1_7_B3,RED,69.94875098039216,0.1025453710552249,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-7.060284430107532,0.5917373051075271,0.5917373051075271,7.060284430107532,743,206350.26588000002,1.8536155516354818,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,34% | 9% | 8% | 8% | 7%
WISHON2_7_B3,RED,69.94875098039216,0.1025453710552249,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-7.060284430107532,0.5917373051075271,0.5917373051075271,7.060284430107532,743,206350.26588000002,1.8536155516354818,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,34% | 9% | 8% | 8% | 7%
CRANEVLY_6_N003,RED,69.94875098039216,0.1025453710552249,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-7.060284430107532,0.5917373051075271,0.5917373051075271,7.060284430107532,743,206350.26588000002,1.8536155516354818,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,34% | 9% | 8% | 8% | 7%
WISHON2_7_B2,RED,69.94875098039216,0.1025453710552249,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-7.060284430107532,0.5917373051075271,0.5917373051075271,7.060284430107532,743,206350.26588000002,1.8536155516354818,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,34% | 9% | 8% | 8% | 7%
SJNO2_6_B1,RED,69.94875098039216,0.1025453710552249,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-7.060284430107532,0.5917373051075271,0.5917373051075271,7.060284430107532,743,206350.26588000002,1.8536155516354818,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,34% | 9% | 8% | 8% | 7%
