node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
GATESBK4_7_N003,RED,92.33285781862745,0.1495641720406612,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,-8.423524822222221,-0.8194051041666665,-0.8194051041666665,8.423524822222221,720,614621.0596700001,2.7698937638795345,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3 | NOM:6110_COI_S-N | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1,27% | 19% | 15% | 8% | 6%
CURTISS_1_N103,RED,111.21448463235296,0.1251345146437068,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,-13.564051755555557,-1.9302460833333333,-1.9302460833333333,13.564051755555557,720,614621.0596700001,3.521690312362886,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:6110_COI_S-N,27% | 23% | 15% | 8% | 7%
PERMNNTE_6_GN001,BLUE,107.17607159313728,0.1993817938547976,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,11.95584995,6.956378541666667,6.956378541666667,-11.95584995,720,614621.0596700001,5.062139165716089,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:6110_COI_S-N | NOM:22886_SUNCREST_230_22885_SUNCREST_500_XF_2 _P | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,40% | 13% | 7% | 6% | 5%
SWIFT_1_GN001,BLUE,109.3863711764706,0.1919237118568941,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,13.649288661111113,6.324185159722223,6.324185159722223,-13.649288661111113,720,614621.0596700001,5.505722064288959,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:22886_SUNCREST_230_22885_SUNCREST_500_XF_2 _P | NOM:6110_COI_S-N | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,41% | 13% | 7% | 6% | 4%
GATES_6_B1,RED,109.47972394607844,0.1359965516760998,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,-11.23785361111111,-1.392719388888889,-1.392719388888889,11.23785361111111,720,614621.0596700001,3.33549651613303,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:6110_COI_S-N | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1,29% | 18% | 17% | 7% | 7%
Q633_6_B1,RED,109.68076259803922,0.1358199469090966,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,-11.278921344444443,-1.4023297986111107,-1.4023297986111107,11.278921344444443,720,614621.0596700001,3.3483055216910875,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:6110_COI_S-N | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1,29% | 18% | 17% | 7% | 7%
METCALF_1_N044,BLUE,110.72592916666665,0.2043357649939046,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,15.128879218390804,4.9307996767241375,4.9307996767241375,-15.128879218390804,696,614621.0596700001,6.545214604550664,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:22886_SUNCREST_230_22885_SUNCREST_500_XF_2 _P | NOM:6110_COI_S-N | NOM:30060_MIDWAY  _500_29402_WIRLWIND_500_BR_1 _2,44% | 11% | 7% | 6% | 4%
LVNGSTN_7_N001,RED,110.93895284313726,0.1283226605760516,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,-13.372907896551723,-1.8357014870689656,-1.8357014870689656,13.372907896551723,696,614621.0596700001,3.5237150232421017,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:6110_COI_S-N,27% | 23% | 15% | 8% | 7%
MERCED_7_N002,RED,111.14177656862744,0.1282415105832779,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,-13.392888568965516,-1.8361638218390808,-1.8361638218390808,13.392888568965516,696,614621.0596700001,3.5283281611576385,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:6110_COI_S-N,27% | 23% | 15% | 8% | 7%
MERCED_7_N003,RED,111.14177656862744,0.1282415105832779,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,-13.392888568965516,-1.8361638218390808,-1.8361638218390808,13.392888568965516,696,614621.0596700001,3.5283281611576385,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:6110_COI_S-N,27% | 23% | 15% | 8% | 7%
CRESSEY_1_N003,RED,111.2113675490196,0.1251261707409223,filled,430234741.76900005,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,-13.568131672222222,-1.9314592430555555,-1.9314592430555555,13.568131672222222,720,614621.0596700001,3.5234985255886406,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:34214_LOS BANS_70.0_30765_LOSBANOS_230_XF_3 | NOM:30060_MIDWAY  _500_24156_VINCENT _500_BR_2 _3 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:6110_COI_S-N,27% | 23% | 15% | 8% | 7%
