node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
SANLUIS2_7_B3,WHITE,115.40964149509804,0.1302830307755689,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,22.646930827777776,2.46431475,2.46431475,-22.646930827777776,720,111315.50440000002,4.372481786651095,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | ITC:LDWP_IPP_NORTH,34% | 29% | 17% | 5% | 4%
PROXSR_7_N004,WHITE,74.60864541666666,0.1131488633615825,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,14.71652476111111,1.5559746180555554,1.5559746180555554,-14.71652476111111,720,111315.50440000002,2.2635638066703154,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | ITC:LDWP_IPP_NORTH | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,33% | 30% | 9% | 8% | 6%
SANLUIS8_7_B3,WHITE,115.40964149509804,0.1302830307755689,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,22.646930827777776,2.46431475,2.46431475,-22.646930827777776,720,111315.50440000002,4.372481786651095,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | ITC:LDWP_IPP_NORTH,34% | 29% | 17% | 5% | 4%
SANLUIS8_7_B1,WHITE,115.40964149509804,0.1302830307755689,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,22.646930827777776,2.46431475,2.46431475,-22.646930827777776,720,111315.50440000002,4.372481786651095,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | ITC:LDWP_IPP_NORTH,34% | 29% | 17% | 5% | 4%
SANLUIS4_7_B3,WHITE,115.40964149509804,0.1302830307755689,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,22.646930827777776,2.46431475,2.46431475,-22.646930827777776,720,111315.50440000002,4.372481786651095,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | ITC:LDWP_IPP_NORTH,34% | 29% | 17% | 5% | 4%
SANLUIS6_7_B3,WHITE,115.40964149509804,0.1302830307755689,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,22.646930827777776,2.46431475,2.46431475,-22.646930827777776,720,111315.50440000002,4.372481786651095,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | ITC:LDWP_IPP_NORTH,34% | 29% | 17% | 5% | 4%
SANLUIS6_7_B1,WHITE,115.40964149509804,0.1302830307755689,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,22.646930827777776,2.46431475,2.46431475,-22.646930827777776,720,111315.50440000002,4.372481786651095,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | ITC:LDWP_IPP_NORTH,34% | 29% | 17% | 5% | 4%
ORTIGAGN_7_N001,WHITE,115.40964149509804,0.1303112999589335,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,21.109510705555554,2.453193298611111,2.453193298611111,-21.109510705555554,720,111315.50440000002,4.3342622045913215,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,30% | 23% | 16% | 5% | 4%
SANLUIS2_7_B1,WHITE,115.40964149509804,0.1302830307755689,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,22.646930827777776,2.46431475,2.46431475,-22.646930827777776,720,111315.50440000002,4.372481786651095,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | ITC:LDWP_IPP_NORTH,34% | 29% | 17% | 5% | 4%
PROXSR_7_N003,WHITE,74.60864541666666,0.1131488633615825,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,14.71652476111111,1.5559746180555554,1.5559746180555554,-14.71652476111111,720,111315.50440000002,2.2635638066703154,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3 | ITC:LDWP_IPP_NORTH | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,33% | 30% | 9% | 8% | 6%
WRGHTPP_6_N002,WHITE,115.40964149509804,0.1303112999589335,filled,601103723.7600001,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,21.109510705555554,2.453193298611111,2.453193298611111,-21.109510705555554,720,111315.50440000002,4.3342622045913215,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30765_LOSBANOS_230_30766_PADR FLT_230_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,30% | 23% | 16% | 5% | 4%
