node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
HERDLYN_6_B1,WHITE,70.27076833333332,0.0888121517838662,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,13.073717741935484,1.7544115725806453,1.7544115725806453,-13.073717741935484,744,374343.84927,1.6516201032740347,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,26% | 22% | 15% | 14% | 4%
SPIJCT_6_B1,WHITE,63.172673333333336,0.1089837442192625,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,11.415173150537637,1.8033481182795703,1.8033481182795703,-11.415173150537637,744,374343.84927,1.3368743067968463,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,23% | 22% | 15% | 15% | 4%
GRANDIS_7_N001,WHITE,64.7972575,0.1086602177189697,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,11.486309177419354,2.020269119623656,2.020269119623656,-11.486309177419354,744,374343.84927,1.3410955944949754,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,22% | 22% | 15% | 14% | 4%
ULTRAJT_6_B1,WHITE,64.79017333333334,0.1078799215955903,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,11.53717791935484,1.8070720295698923,1.8070720295698923,-11.53717791935484,744,374343.84927,1.3680294065655816,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,23% | 22% | 15% | 15% | 4%
DAVIS_1_N001,WHITE,64.24453000000001,0.1092264233523007,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,11.42974702688172,1.9842626680107525,1.9842626680107525,-11.42974702688172,744,374343.84927,1.3351691012579545,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,22% | 22% | 15% | 14% | 4%
DAVIS_1_N018,WHITE,64.24453000000001,0.1092264233523007,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,11.42974702688172,1.9842626680107525,1.9842626680107525,-11.42974702688172,744,374343.84927,1.3351691012579545,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,22% | 22% | 15% | 14% | 4%
RIOBRVQF_6_N001,RED,84.00188044117647,0.1146897735009141,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.439025295698924,-0.6008281922043011,-0.6008281922043011,12.439025295698924,744,374343.84927,1.3512918413841866,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,19% | 19% | 10% | 8% | 8%
SC21ATP_6_B1,RED,84.00188044117647,0.1249706045324685,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.274519849462369,-1.6951039448924732,-1.6951039448924732,13.274519849462369,744,374343.84927,1.350849453850565,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,19% | 19% | 10% | 8% | 8%
KRNSNST_7_N001,RED,84.00188044117647,0.1167948935479375,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-12.279584370967742,-0.3887389650537634,-0.3887389650537634,12.279584370967742,744,374343.84927,1.3508460865596992,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,19% | 19% | 10% | 8% | 8%
S621AC_7_N002,RED,84.00188044117647,0.1249706045324685,filled,2021456786.058,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-13.274519849462369,-1.6951039448924732,-1.6951039448924732,13.274519849462369,744,374343.84927,1.350849453850565,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30056_GATES2  _500_30060_MIDWAY  _500_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30900_GATES   _230_30970_MIDWAY  _230_BR_1 _1,19% | 19% | 10% | 8% | 8%
