node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
REDMESA_6_SOLAR1GNODE,RED,48.63509068627451,0.3122696312514842,filled,848048232.191,ITC:Line_FC-CH1_345KV,10700.0,WECC path 4,-5.92811705,-0.4350842847222222,-0.4350842847222222,5.92811705,720,79256.84413,1.9566814587711414,ITC:Line_FC-CH1_345KV | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:22464_MIGUEL  _230_22468_MIGUEL  _500_XF_81 | ITC:LDWP_IPP_NORTH | ITC:PACE_FOURCORNE345_ITC,20% | 13% | 12% | 11% | 6%
CONCHO_GNODE1,RED,48.63509068627451,0.3122696312514842,filled,848048232.191,ITC:Line_FC-CH1_345KV,10700.0,WECC path 4,-5.92811705,-0.4350842847222222,-0.4350842847222222,5.92811705,720,79256.84413,1.9566814587711414,ITC:Line_FC-CH1_345KV | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:22464_MIGUEL  _230_22468_MIGUEL  _500_XF_81 | ITC:LDWP_IPP_NORTH | ITC:PACE_FOURCORNE345_ITC,20% | 13% | 12% | 11% | 6%
VALLEYSC_1_NBT1,RED,49.54837401960785,0.1037613848033929,filled,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,-8.073967872222223,-0.3635919444444443,-0.3635919444444443,8.073967872222223,720,53985.45834,2.2280356389450424,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | ITC:Line_FC-CH1_345KV | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,65% | 11% | 7% | 3% | 3%
CSTRVLLE_1_N003,WHITE,43.63709428921568,0.2479870406732195,filled,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,8.577061977777776,1.0354857222222222,1.0354857222222222,-8.577061977777776,720,53985.45834,2.0792760246035664,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,45% | 13% | 13% | 7% | 6%
MOSSLAND_5_B1,WHITE,43.1839775,0.2414761679246636,filled,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,8.828011544444445,1.1417387152777778,1.1417387152777778,-8.828011544444445,720,53985.45834,2.0798344156455943,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1,47% | 12% | 10% | 8% | 7%
VISTRA_7_N009,WHITE,43.1839775,0.2414761679246636,filled,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,8.828011544444445,1.1417387152777778,1.1417387152777778,-8.828011544444445,720,53985.45834,2.0798344156455943,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1,47% | 12% | 10% | 8% | 7%
VALLYHM_1_N004,WHITE,43.44436458333334,0.169819543189942,filled,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,5.99566013888889,0.4272710416666667,0.4272710416666667,-5.99566013888889,720,53985.45834,1.9891763832192435,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:33530_KASSONJ2_115_33548_TRACY   _115_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1 | NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1 | NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,58% | 11% | 11% | 4% | 4%
HOLLISTR_7_N004,WHITE,43.63709428921568,0.2479870406732195,filled,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,8.577061977777776,1.0354857222222222,1.0354857222222222,-8.577061977777776,720,53985.45834,2.0792760246035664,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,45% | 13% | 13% | 7% | 6%
GRNVALY_1_N035,WHITE,43.63709428921568,0.2479870406732195,filled,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,8.577061977777776,1.0354857222222222,1.0354857222222222,-8.577061977777776,720,53985.45834,2.0792760246035664,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,45% | 13% | 13% | 7% | 6%
ELKHRN_7_N001,WHITE,43.63709428921568,0.2479870406732195,filled,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,8.577061977777776,1.0354857222222222,1.0354857222222222,-8.577061977777776,720,53985.45834,2.0792760246035664,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,45% | 13% | 13% | 7% | 6%
ELKHRN_7_N002,WHITE,43.63709428921568,0.2479870406732195,filled,291521475.036,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1,5400.0,WECC path 15,8.577061977777776,1.0354857222222222,1.0354857222222222,-8.577061977777776,720,53985.45834,2.0792760246035664,NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1 | NOM:35352_WHISMAN _115_35356_MNTA VSA_115_BR_1 _1 | NOM:30635_NWK DIST_230_30731_LS ESTRS_230_BR_1 _1 | NOM:30040_TESLA   _500_30050_LOSBANOS_500_BR_1 _1,45% | 13% | 13% | 7% | 6%
