node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_sum_abs_mu,kstar_contribution,top5_lines,top5_shares
VICTOR_7_N013,WHITE,17.3441931372549,0.1758263772883723,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-1.1998868225806452,0.2564330510752687,0.2564330510752687,1.1998868225806452,744,70072.19807999999,0.20622852384865273,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_N-S | NOM:7690-COOLWATER_KRAMER_IM_NG | ITC:LDWP_IPP_NORTH,18% | 18% | 15% | 13% | 11%
MIDWAY_1_B1,WHITE,14.742882352941177,0.1698028035981601,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.9047095913978496,0.385990067204301,0.385990067204301,0.9047095913978496,744,70072.19807999999,0.29779524994478285,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:6110_COI_N-S | ITC:LDWP_IPP_NORTH | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:SYLMAR-AC_BG_NG,29% | 20% | 13% | 10% | 7%
SHAFTER_7_N021,WHITE,14.742882352941177,0.1698344340240646,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.9047095913978496,0.385990067204301,0.385990067204301,0.9047095913978496,744,70072.19807999999,0.29773916121981214,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:6110_COI_N-S | ITC:LDWP_IPP_NORTH | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:SYLMAR-AC_BG_NG,29% | 20% | 13% | 10% | 7%
PEN_2_B1,WHITE,17.06323975490196,0.2019200886759865,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.5546316559139784,0.2440450336021505,0.2440450336021505,0.5546316559139784,744,70072.19807999999,0.20544134286019106,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:6110_COI_N-S | NOM:7820_TL23040_IV_SPS_NG | ITC:LDWP_IPP_NORTH,18% | 17% | 15% | 14% | 9%
TXMIDST_7_N001,WHITE,14.742882352941177,0.1698028035981601,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.9047095913978496,0.385990067204301,0.385990067204301,0.9047095913978496,744,70072.19807999999,0.29779524994478285,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:6110_COI_N-S | ITC:LDWP_IPP_NORTH | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:SYLMAR-AC_BG_NG,29% | 20% | 13% | 10% | 7%
FELLOWSG_7_N002,WHITE,14.742882352941177,0.1698028035981601,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.9047095913978496,0.385990067204301,0.385990067204301,0.9047095913978496,744,70072.19807999999,0.29779524994478285,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:6110_COI_N-S | ITC:LDWP_IPP_NORTH | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:SYLMAR-AC_BG_NG,29% | 20% | 13% | 10% | 7%
C877P2C2_7_ND002,WHITE,16.980426421568627,0.1776501307173784,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.7537322580645162,0.3870694422043011,0.3870694422043011,0.7537322580645162,744,70072.19807999999,0.4248930159703031,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:6110_COI_N-S | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:6410_CP7_NG,37% | 20% | 13% | 7% | 6%
CAFLTSSS_2_B1,WHITE,16.980426421568627,0.1776501307173784,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.7537322580645162,0.3870694422043011,0.3870694422043011,0.7537322580645162,744,70072.19807999999,0.4248930159703031,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:6110_COI_N-S | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:6410_CP7_NG,37% | 20% | 13% | 7% | 6%
C877P1C2_7_N001,WHITE,16.980426421568627,0.1776501307173784,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.7537322580645162,0.3870694422043011,0.3870694422043011,0.7537322580645162,744,70072.19807999999,0.4248930159703031,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:6110_COI_N-S | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:6410_CP7_NG,37% | 20% | 13% | 7% | 6%
C877P2C2_7_N001,WHITE,16.980426421568627,0.1776501307173784,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.7537322580645162,0.3870694422043011,0.3870694422043011,0.7537322580645162,744,70072.19807999999,0.4248930159703031,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:6110_COI_N-S | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | ITC:LDWP_IPP_NORTH | NOM:6410_CP7_NG,37% | 20% | 13% | 7% | 6%
BPFFD_1_N002,WHITE,14.742882352941177,0.1698028035981601,filled,378389869.6319999,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1,5400.0,WECC path 15,-0.9047095913978496,0.385990067204301,0.385990067204301,0.9047095913978496,744,70072.19807999999,0.29779524994478285,NOM:30790_PANOCHE _230_30900_GATES   _230_BR_2 _1 | NOM:6110_COI_N-S | ITC:LDWP_IPP_NORTH | NOM:30055_GATES1  _500_30060_MIDWAY  _500_BR_1 _1 | NOM:SYLMAR-AC_BG_NG,29% | 20% | 13% | 10% | 7%
