node,archetype,spread,conc,marker,size_node,kstar_physical_line,kstar_rating_MW,kstar_rating_source,MCC_mid,MCC_eve,import_signal,export_signal,hours_covered,kstar_contribution,n_months_active,size_cv,size_max_share,same_kstar_months,persistence_label,n_tpp_projects,earliest_isd_active,oldest_plan_year,max_slip_years,projects_summary
0096WD_7_N001,RED,57.112140196078435,0.13125660896200617,filled,353675065.3335,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-8.664984801375022,-1.2343310699924792,-1.2343310699924792,8.664984801375022,8735,1.2905751712890412,12,1.1605430384007227,0.298086425728209,4,12/12 mo · variable,0.0,,,,
1501WDC2_7_ND001,RED,67.35600036764706,0.1291793479295976,filled,363994731.89699996,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-8.744308464092635,-1.2706602592845944,-1.2706602592845944,8.744308464092635,8735,1.6654855536967612,12,1.034818693885644,0.2789122634145879,4,12/12 mo · variable,0.0,,,,
2C559EQ2_7_N001,RED,57.043640196078435,0.13048386802013762,filled,353675065.3335,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-8.663835615598865,-1.329052840795144,-1.329052840795144,8.663835615598865,8735,1.2905611461424844,12,1.1605430384007227,0.298086425728209,4,12/12 mo · variable,0.0,,,,
2C559_1_B1,RED,57.043640196078435,0.13048386802013762,filled,353675065.3335,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-8.663835615598865,-1.329052840795144,-1.329052840795144,8.663835615598865,8735,1.2905611461424844,12,1.1605430384007227,0.298086425728209,4,12/12 mo · variable,0.0,,,,
2C577C1_7_N001,WHITE,103.66392231617647,0.12658548604893302,filled,1114291435.752,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,23.114387622553977,1.9080084985145718,1.9080084985145718,-23.114387622553977,8735,7.874663222544836,11,0.8070699811283442,0.2433770062635058,7,11/12 mo · moderate,0.0,,,,
2PBLSM34_7_N001,RED,47.35693487745098,0.15412344558828547,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.224617278058329,-0.33867030406479337,-0.33867030406479337,7.224617278058329,8735,0.9729866331475364,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
3PEAKS_1_BESS1GNODE,RED,33.3708931372549,0.3270519014950149,filled,291521475.036,ITC:PACE_PATHC_ITC,,unknown,-5.402605791805468,-0.3991612721203177,-0.3991612721203177,5.402605791805468,1872,0.8846728142345617,1,,1.0,1,single month,0.0,,,,
3PEAKS_GNODE1,RED,27.861239779411765,0.3667475694818234,filled,138257553.72,ITC:PACE_FOURCORNE345_ITC,,unknown,-4.240775260149983,-0.8688939892393113,-0.8688939892393113,4.240775260149983,8735,1.0611500565521808,6,0.6823393323817247,0.3077452768594082,2,6/12 mo · moderate,0.0,,,,
4C687C2_7_N001,WHITE,51.10033899509804,0.14286170588239286,filled,318993420.2355,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,6.229451581298004,0.6762996727390552,0.6762996727390552,-6.229451581298004,8735,1.474531274683591,10,1.4643738940812443,0.4850669743452848,4,10/12 mo · variable,0.0,,,,
4C687_1_B1,WHITE,51.10033899509804,0.14286170588239286,filled,318993420.2355,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,6.229451581298004,0.6762996727390552,0.6762996727390552,-6.229451581298004,8735,1.474531274683591,10,1.4643738940812443,0.4850669743452848,4,10/12 mo · variable,0.0,,,,
4C744C12_7_N001,RED,57.043640196078435,0.13048386802013762,filled,353675065.3335,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-8.663835615598865,-1.329052840795144,-1.329052840795144,8.663835615598865,8735,1.2905611461424844,12,1.1605430384007227,0.298086425728209,4,12/12 mo · variable,0.0,,,,
4C744C22_7_N001,RED,57.043640196078435,0.13048386802013762,filled,353675065.3335,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-8.663835615598865,-1.329052840795144,-1.329052840795144,8.663835615598865,8735,1.2905611461424844,12,1.1605430384007227,0.298086425728209,4,12/12 mo · variable,0.0,,,,
4C744C32_7_N001,RED,57.043640196078435,0.13048386802013762,filled,353675065.3335,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-8.663835615598865,-1.329052840795144,-1.329052840795144,8.663835615598865,8735,1.2905611461424844,12,1.1605430384007227,0.298086425728209,4,12/12 mo · variable,0.0,,,,
4C744C42_7_N001,RED,57.043640196078435,0.13048386802013762,filled,353675065.3335,NOM:30765_LOSBANOS_230_30790_PANOCHE _230_BR_2 _1,5400.0,WECC path 15,-8.663835615598865,-1.329052840795144,-1.329052840795144,8.663835615598865,8735,1.2905611461424844,12,1.1605430384007227,0.298086425728209,4,12/12 mo · variable,0.0,,,,
90TH.SO_GNODEPDRP1,WHITE,16.688223235294117,0.4481531727463184,filled,276052100.05,ITC:PACE_FOURCORNE345_ITC,,unknown,-0.6215476419429508,-0.7403692097387565,-0.7403692097387565,0.6215476419429508,8735,0.7105608015465137,5,1.7515397196725495,0.8248874716395709,2,5/12 mo · variable,0.0,,,,
ACACIA_7_N001,RED,49.222096029411766,0.14875295219799578,filled,283786787.543,NOM:30050_LOSBANOS_500_30055_GATES1  _500_BR_1 _3,5400.0,WECC path 15,-7.451757392683265,-0.43420964046765653,-0.43420964046765653,7.451757392683265,8735,0.9141871140491746,12,1.3504999166522818,0.3889688652110409,3,12/12 mo · variable,0.0,,,,
ADCC_2_N001,WHITE,50.017289240196085,0.12354183419590249,filled,318993420.2355,NOM:30750_MOSSLD  _230_30797_LASAGUIL_230_BR_1 _1,700.0,voltage proxy 230 kV,6.498140005301672,0.9219391380861709,0.9219391380861709,-6.498140005301672,8735,1.4132010853132548,10,1.4386173168782368,0.4792422655893287,4,10/12 mo · variable,0.0,,,,
