node,n_months_active,n_months_blue_or_purple,size_cv,size_median_x12,size_max_share,same_kstar_months,persistence_label
0096WD_7_N001,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
1501WDC2_7_ND001,12,0,1.034818693885644,4367936782.764,0.2789122634145879,4,12/12 mo · variable
2C559EQ2_7_N001,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
2C559_1_B1,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
2C577C1_7_N001,11,2,0.8070699811283442,13371497229.024002,0.24337700626350584,7,11/12 mo · moderate
2PBLSM34_7_N001,12,0,1.3504999166522818,3405441450.516,0.3889688652110409,3,12/12 mo · variable
3PEAKS_1_BESS1GNODE,1,0,,3498257700.432,1.0,1,single month
3PEAKS_GNODE1,6,0,0.6823393323817247,1659090644.6399999,0.3077452768594082,2,6/12 mo · moderate
4C687C2_7_N001,10,1,1.4643738940812443,3827921042.8259997,0.48506697434528484,4,10/12 mo · variable
4C687_1_B1,10,1,1.4643738940812443,3827921042.8259997,0.48506697434528484,4,10/12 mo · variable
4C744C12_7_N001,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
4C744C22_7_N001,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
4C744C32_7_N001,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
4C744C42_7_N001,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
90TH.SO_GNODEPDRP1,5,0,1.7515397196725495,3312625200.6000004,0.8248874716395709,2,5/12 mo · variable
ACACIA_7_N001,12,0,1.3504999166522818,3405441450.516,0.3889688652110409,3,12/12 mo · variable
ADCC_2_N001,10,1,1.4386173168782368,3827921042.8259997,0.4792422655893287,4,10/12 mo · variable
ADERAG1_7_N001,12,0,2.0373076415654103,483105733.335,0.6010940278621024,9,12/12 mo · volatile
ADRATAP_1_B1,12,0,2.0373076415654103,483105733.335,0.6010940278621024,9,12/12 mo · volatile
AGATEBAY_7_GNODE1,7,0,1.5994165623334413,3312625200.6000004,0.6585338356335451,2,7/12 mo · variable
AGRCJCT_6_B1,11,1,0.8318871538153183,13371497229.024002,0.24705456215884708,6,11/12 mo · moderate
AGRICO_7_NBT1,11,1,0.8318871538153183,13371497229.024002,0.24705456215884708,6,11/12 mo · moderate
AGUCALG1_7_B1,11,0,0.5643996945712092,2513592539.136,0.18397171458166595,3,11/12 mo · moderate
AIRPORT_GNODE1,6,0,0.6030892514214147,2397317705.82,0.27002113561282975,2,6/12 mo · moderate
AKINGS02_7_N001,11,1,0.8675339614410581,5162816901.228001,0.23571848845859827,5,11/12 mo · moderate
ALAMITOS_2_B1,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
ALAMIT_7_NBT2,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
ALAMOSC_7_N001,11,0,1.3765506020226403,3312625200.6000004,0.41334770088273765,3,11/12 mo · variable
ALAMT1G_7_B1,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
ALAMT2G_7_B1,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
ALAMT3G_7_B1,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
ALAMT4G_7_B1,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
ALAMT5G_7_B1,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
ALAMT6G_7_B1,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
ALASB1_7_NSB1,11,1,1.2164513983787137,2743125425.3519993,0.4135434977163184,3,11/12 mo · variable
ALASB2_7_NSB2,11,1,1.218904918198654,3312625200.6000004,0.4100680550372925,2,11/12 mo · variable
ALLEGHNY_6_N002,12,2,1.4498143760823767,3255495941.1660004,0.37397962804504203,3,12/12 mo · variable
ALMASL3_7_N001,11,0,0.5261602353162576,2658811545.3,0.16206199858818532,4,11/12 mo · moderate
ALMASL3_7_N002,11,0,0.5261602353162576,2658811545.3,0.16206199858818532,4,11/12 mo · moderate
ALMASL_7_GUB6N,11,0,0.5261602353162576,2658811545.3,0.16206199858818532,4,11/12 mo · moderate
ALMASL_7_GUS6N,11,0,0.5261602353162576,2658811545.3,0.16206199858818532,4,11/12 mo · moderate
ALMASL_7_GUS7N,11,0,0.5261602353162576,2658811545.3,0.16206199858818532,4,11/12 mo · moderate
ALMDACT1_7_B1,11,3,1.340410777251711,4157584385.2200003,0.3694044752717225,3,11/12 mo · variable
ALMDACT2_7_B1,11,3,1.340410777251711,4157584385.2200003,0.3694044752717225,3,11/12 mo · variable
ALMERGB2_7_N001,12,1,1.4634795331603925,3027875312.976,0.41286972289025275,3,12/12 mo · variable
ALPAUGH_7_N001,12,0,1.1605430384007227,4244100784.0020003,0.298086425728209,4,12/12 mo · variable
ALTA1G_7_B1,6,1,1.7743487826545072,1019650331.19,0.7604823161650123,3,6/12 mo · variable
ALTA2G_7_B1,6,1,1.7743487826545072,1019650331.19,0.7604823161650123,3,6/12 mo · variable
ALTA6B2_7_N003,12,0,1.4139596156528895,3027875312.976,0.4029539683046919,2,12/12 mo · variable
ALTA6E2_7_N002,12,0,1.4139596156528895,3027875312.976,0.4029539683046919,2,12/12 mo · variable
ALTAD1_7_N006,12,0,1.4139596156528895,3027875312.976,0.4029539683046919,2,12/12 mo · variable
ALTAD2_7_N006,12,0,1.4139596156528895,3027875312.976,0.4029539683046919,2,12/12 mo · variable
ALTAPES_7_N001,11,0,0.38935616914839444,2836912747.8,0.14272029283929444,3,11/12 mo · stable
ALTWD1_7_N003,11,1,0.4411321650933274,2836912747.8,0.15065523950907994,4,11/12 mo · stable
