node,archetype,spread,size_node,kstar_physical_line,kstar_rating_MW,Latitude,Longitude,Plant Name,conc
MENDOTA_1_B1,RED,293.9555647794117,19260820.275,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,36.755896,-120.365422,Covanta Mendota,0.0895080080991054
ADERAG1_7_N001,RED,254.05039039215688,19260820.275,NOM:34116_LE GRAND_115_34115_ADRA TAP_115_BR_1 _1,250.0,37.120586,-120.32488,Adera Solar,0.0936999876154096
CARIBOU_1_B1,RED,237.8246455882353,21170666.465000004,NOM:31486_CARIBOU _115_30255_CARBOU M_ 1.0_XF_11,250.0,40.085997,-121.149373,Caribou 2,0.3330929852821203
VALLEYSC_1_N001,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644519612204949
VALLEYSC_5_B1,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644519612204949
VALLEYSC_1_N230,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644519612204949
VALLEYSC_1_NBT1,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644519612204949
VALLEYSC_1_N108,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644531760662697
VALLEYSC_1_N102,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644531760662697
VALLEYSC_1_N013,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644531760662697
VALLEYSC_1_N038,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644531760662697
VALLEYSC_1_N029,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644531760662697
VALLEYSC_1_N101,RED,190.84647686274508,221567628.775,NOM:24801_DEVERS  _500_24804_DEVERS  _230_XF_1 _P,2500.0,33.252222,-115.4975,"Imperial Valley Solar Co (IVSC) 2, LLC",0.0644519612204949
